day,circulatingSupply
2021-09-25T00:00:00+00:00,8639438.7441367187317667
2021-09-24T00:00:00+00:00,8619159.2448758566807667
2021-09-23T00:00:00+00:00,8561883.4266151985577667
2021-09-22T00:00:00+00:00,8452413.0931332972667667
2021-09-21T00:00:00+00:00,8435804.1046469003337667
2021-09-20T00:00:00+00:00,8407254.7313530096077667
2021-09-19T00:00:00+00:00,8375318.1672168694577667
2021-09-18T00:00:00+00:00,8357365.8544285053737667
2021-09-17T00:00:00+00:00,8280555.9637202003437667
2021-09-16T00:00:00+00:00,8235467.8925406250897667
2021-09-15T00:00:00+00:00,8216688.6465444582247667
2021-09-14T00:00:00+00:00,8198979.0362487873497667
2021-09-13T00:00:00+00:00,8141817.4135007744957667
2021-09-12T00:00:00+00:00,8125585.2225248374587667
2021-09-11T00:00:00+00:00,7968602.0445812557787667
2021-09-10T00:00:00+00:00,7913743.3568451757487667
2021-09-09T00:00:00+00:00,7889665.7834162374667667
2021-09-08T00:00:00+00:00,7849469.9070303227787667
2021-09-07T00:00:00+00:00,7761774.1403681214887667
2021-09-06T00:00:00+00:00,7697655.3775001963477667
2021-09-05T00:00:00+00:00,7677478.9964952212177667
2021-09-04T00:00:00+00:00,7645203.2048811651147667
2021-09-03T00:00:00+00:00,7630822.8414116033197667
2021-09-02T00:00:00+00:00,7596423.7120512505437667
2021-09-01T00:00:00+00:00,7470140.3076165286407667
2021-08-31T00:00:00+00:00,7445074.5181120935407667
2021-08-30T00:00:00+00:00,7430179.4137369016047667
2021-08-29T00:00:00+00:00,7350069.0717104983847667
2021-08-28T00:00:00+00:00,7338155.4347206202617667
2021-08-27T00:00:00+00:00,7285784.4398272557887667
2021-08-26T00:00:00+00:00,7261545.2604105744087667
2021-08-25T00:00:00+00:00,7242297.5583111788247667
2021-08-24T00:00:00+00:00,7222074.7739833551147667
2021-08-23T00:00:00+00:00,7201424.4420255302727667
2021-08-22T00:00:00+00:00,7168392.5836639376217667
2021-08-21T00:00:00+00:00,7147886.3931440057947667
2021-08-20T00:00:00+00:00,7066303.2074637358237667
2021-08-19T00:00:00+00:00,7049046.3859326184687667
2021-08-18T00:00:00+00:00,7020182.0966281036937667
2021-08-17T00:00:00+00:00,6996541.8484714491227667
2021-08-16T00:00:00+00:00,6975655.8659331751027667
2021-08-15T00:00:00+00:00,6891597.1955791645407667
2021-08-14T00:00:00+00:00,6818543.0909346846457667
2021-08-13T00:00:00+00:00,6688472.1494707730077667
2021-08-12T00:00:00+00:00,6659517.4324412884287667
2021-08-11T00:00:00+00:00,6606314.1338834928867667
2021-08-10T00:00:00+00:00,6581741.2868648724837667
2021-08-09T00:00:00+00:00,6544911.8390407283767667
2021-08-08T00:00:00+00:00,6509232.2954789627727667
2021-08-07T00:00:00+00:00,6464476.4001101249497667
2021-08-06T00:00:00+00:00,6382933.6406676721817667
2021-08-05T00:00:00+00:00,6361030.2899524883867667
2021-08-04T00:00:00+00:00,6342119.9626123844767667
2021-08-03T00:00:00+00:00,6306120.8017213923477667
2021-08-02T00:00:00+00:00,6149275.5614112004357667
2021-08-01T00:00:00+00:00,6134333.9267648289827667
2021-07-31T00:00:00+00:00,5990394.6101877877717667
2021-07-30T00:00:00+00:00,5945644.2233085026247667
2021-07-29T00:00:00+00:00,5895096.2325812152857667
2021-07-28T00:00:00+00:00,5864867.4576296870447667
2021-07-27T00:00:00+00:00,5845298.0710947388427667
2021-07-26T00:00:00+00:00,5813925.3007699350947667
2021-07-25T00:00:00+00:00,5783544.8957946506277667
2021-07-24T00:00:00+00:00,5757949.3326252198307667
2021-07-23T00:00:00+00:00,5740307.9587355308097667
2021-07-22T00:00:00+00:00,5694313.4406684182317667
2021-07-21T00:00:00+00:00,5675442.8470666223697667
2021-07-20T00:00:00+00:00,5661064.7263060519097667
2021-07-19T00:00:00+00:00,5601862.4327409882637667
2021-07-18T00:00:00+00:00,5533521.4316840641387667
2021-07-17T00:00:00+00:00,5494743.8770832962237667
2021-07-16T00:00:00+00:00,5480043.6580514591787667
2021-07-15T00:00:00+00:00,4672088.6605724925547667
2021-07-14T00:00:00+00:00,4660440.6563665441497667
2021-07-13T00:00:00+00:00,4638549.0447684830997667
2021-07-12T00:00:00+00:00,4603113.2591864446077667
2021-07-11T00:00:00+00:00,4573876.3895314334837667
2021-07-10T00:00:00+00:00,4565241.9770327349795504
2021-07-09T00:00:00+00:00,4541669.2584851745435504
2021-07-08T00:00:00+00:00,4533867.2502323930487189
2021-07-07T00:00:00+00:00,4529371.0925366188473419
2021-07-06T00:00:00+00:00,4484585.3977682128263419
2021-07-05T00:00:00+00:00,4469729.4493627737903419
2021-07-04T00:00:00+00:00,4455638.0651460870983419
2021-07-03T00:00:00+00:00,4446844.1521833805202338
2021-07-02T00:00:00+00:00,4428038.0167853357112338
2021-07-01T00:00:00+00:00,4417526.5690470702712338
2021-06-30T00:00:00+00:00,4376548.7088087177682338
2021-06-29T00:00:00+00:00,4357041.7865022763072338
2021-06-28T00:00:00+00:00,4339853.8106213397312338
2021-06-27T00:00:00+00:00,4280722.9573929121072338
2021-06-26T00:00:00+00:00,4271977.1162233742462521
2021-06-25T00:00:00+00:00,4247964.5462615054362521
2021-06-24T00:00:00+00:00,4234402.6000001506442521
2021-06-23T00:00:00+00:00,4212614.3182583322592521
2021-06-22T00:00:00+00:00,4188491.2624193007642521
2021-06-21T00:00:00+00:00,4165520.4926179659602521
2021-06-20T00:00:00+00:00,4091010.0056433076382521
2021-06-19T00:00:00+00:00,4072633.8204884668572521
2021-06-18T00:00:00+00:00,4049352.5609431792212521
2021-06-17T00:00:00+00:00,4028104.6626813325522521
2021-06-16T00:00:00+00:00,3413943.0879995292642521
2021-06-15T00:00:00+00:00,3399235.1924965606192521
2021-06-14T00:00:00+00:00,3376851.6360924866022521
2021-06-13T00:00:00+00:00,3365346.4972321793082521
2021-06-12T00:00:00+00:00,3327434.2049246584992521
2021-06-11T00:00:00+00:00,3305389.4857873306942521
2021-06-10T00:00:00+00:00,3286467.5915936712812521
2021-06-09T00:00:00+00:00,3269684.7974911779942521
2021-06-08T00:00:00+00:00,3233187.5623995481792521
2021-06-07T00:00:00+00:00,3223702.8405986445377446
2021-06-06T00:00:00+00:00,3196160.2373561075297446
2021-06-05T00:00:00+00:00,3145142.3426204323367446
2021-06-04T00:00:00+00:00,3134899.3060176248527446
2021-06-03T00:00:00+00:00,3122021.4331198480197446
2021-06-02T00:00:00+00:00,3104593.6692702699397446
2021-06-01T00:00:00+00:00,3078931.2609084058267446
2021-05-31T00:00:00+00:00,3050119.3508705987867446
2021-05-30T00:00:00+00:00,3026024.2982317840707446
