date,ETH in pool,USD in pool
2021-06-28T00:00:00+00:00,202595.1000000000000000,264653978.32700002
2021-06-27T00:00:00+00:00,201200.4000000000000000,261892848.89600003
2021-06-26T00:00:00+00:00,206441.9000000000000000,271483064.20100003
2021-06-25T00:00:00+00:00,201880.8000000000000000,263190026.57000002
2021-06-24T00:00:00+00:00,208965.1000000000000000,277300889.52500004
2021-06-23T00:00:00+00:00,193690.6000000000000000,247188587.48000002
2021-06-22T00:00:00+00:00,187272.7000000000000000,235123641.44900003
2021-06-21T00:00:00+00:00,186797.8000000000000000,234223639.46300003
2021-06-20T00:00:00+00:00,189818.2000000000000000,241009300.30700004
2021-06-19T00:00:00+00:00,186038.4000000000000000,232782225.42500004
2021-06-18T00:00:00+00:00,184391.6000000000000000,229111112.99300003
2021-06-17T00:00:00+00:00,185845.4000000000000000,232562157.97100002
2021-06-16T00:00:00+00:00,185819.0000000000000000,232499652.275
2021-06-15T00:00:00+00:00,186016.9000000000000000,233004265.611
2021-06-14T00:00:00+00:00,187729.5000000000000000,237421266.523
2021-06-13T00:00:00+00:00,184830.1000000000000000,230138379.639
2021-06-12T00:00:00+00:00,184701.5000000000000000,229832927.633
2021-06-11T00:00:00+00:00,185236.7000000000000000,231092124.785
2021-06-10T00:00:00+00:00,185903.7000000000000000,232742142.715
2021-06-09T00:00:00+00:00,184600.6000000000000000,229339149.189
2021-06-08T00:00:00+00:00,183072.5000000000000000,225516056.923
2021-06-07T00:00:00+00:00,181525.4000000000000000,221503096.117
2021-06-06T00:00:00+00:00,175484.0000000000000000,205107219.82900003
2021-06-05T00:00:00+00:00,175592.0000000000000000,205391527.66900003
2021-06-04T00:00:00+00:00,176233.7000000000000000,207118823.64400002
2021-06-03T00:00:00+00:00,177393.2000000000000000,210430320.85900003
2021-06-02T00:00:00+00:00,176423.4000000000000000,207798390.337
2021-06-01T00:00:00+00:00,176183.6000000000000000,207168318.235
2021-05-31T00:00:00+00:00,176790.4000000000000000,208812054.483
2021-05-30T00:00:00+00:00,177160.9000000000000000,209697197.50800002
2021-05-29T00:00:00+00:00,174755.8000000000000000,204215180.925
2021-05-28T00:00:00+00:00,175847.2000000000000000,206857351.185
2021-05-27T00:00:00+00:00,175672.5000000000000000,206378702.884
2021-05-26T00:00:00+00:00,175859.0000000000000000,206917275.719
2021-05-25T00:00:00+00:00,175906.9000000000000000,207046799.71400002
2021-05-24T00:00:00+00:00,176788.1000000000000000,209377159.55
2021-05-23T00:00:00+00:00,175033.8000000000000000,205671586.74600002
2021-05-22T00:00:00+00:00,176875.5000000000000000,209906097.05400002
2021-05-21T00:00:00+00:00,173820.3000000000000000,202475850.654
2021-05-20T00:00:00+00:00,178179.5000000000000000,214583397.87800002
2021-05-19T00:00:00+00:00,174475.9000000000000000,205444172.30200002
2021-05-18T00:00:00+00:00,177153.6000000000000000,214508026.14000002
2021-05-17T00:00:00+00:00,178453.9000000000000000,218775714.76400003
2021-05-16T00:00:00+00:00,175269.7000000000000000,207339596.78000003
2021-05-15T00:00:00+00:00,178356.3000000000000000,218634145.23200002
2021-05-14T00:00:00+00:00,178012.3000000000000000,217228320.432
2021-05-13T00:00:00+00:00,176339.3000000000000000,210969627.432
2021-05-12T00:00:00+00:00,179703.2000000000000000,223954853.29500002
2021-05-11T00:00:00+00:00,182072.5000000000000000,233866914.617
2021-05-10T00:00:00+00:00,182760.4000000000000000,236590537.724
2021-05-09T00:00:00+00:00,184766.5000000000000000,244496136.482
2021-05-08T00:00:00+00:00,183380.2000000000000000,239076452.084
2021-05-07T00:00:00+00:00,180980.2000000000000000,230700140.084
2021-05-06T00:00:00+00:00,180483.5000000000000000,228963527.87399998
2021-05-05T00:00:00+00:00,178095.0000000000000000,220522377.79399997
2021-05-04T00:00:00+00:00,173886.5000000000000000,206807760.07899997
2021-05-03T00:00:00+00:00,173984.0000000000000000,207142366.42899996
2021-05-02T00:00:00+00:00,171247.9000000000000000,199057957.03699997
2021-05-01T00:00:00+00:00,171592.8000000000000000,200075177.50499997
2021-04-30T00:00:00+00:00,169303.5000000000000000,193716669.64799997
2021-04-29T00:00:00+00:00,166866.4000000000000000,186986203.69099998
2021-04-28T00:00:00+00:00,165796.0000000000000000,184039328.267
2021-04-27T00:00:00+00:00,162905.7000000000000000,176335840.57999998
2021-04-26T00:00:00+00:00,163363.6000000000000000,177497455.03699997
2021-04-25T00:00:00+00:00,163280.3000000000000000,177304139.89399996
2021-04-24T00:00:00+00:00,156476.9000000000000000,162183243.22399998
2021-04-23T00:00:00+00:00,157324.0000000000000000,164189387.79899997
2021-04-22T00:00:00+00:00,156700.7000000000000000,162688587.35999995
2021-04-21T00:00:00+00:00,156977.2000000000000000,163342225.06499997
2021-04-20T00:00:00+00:00,156095.9000000000000000,161289280.77999997
2021-04-19T00:00:00+00:00,157826.8000000000000000,165102315.008
2021-04-18T00:00:00+00:00,157801.0000000000000000,165044202.31399998
2021-04-17T00:00:00+00:00,154898.6000000000000000,158168503.78599998
2021-04-16T00:00:00+00:00,156329.9000000000000000,161711228.92
2021-04-15T00:00:00+00:00,157867.1000000000000000,165588723.688
2021-04-14T00:00:00+00:00,158884.5000000000000000,168063325.35999998
2021-04-13T00:00:00+00:00,159312.9000000000000000,169050650.27199998
2021-04-12T00:00:00+00:00,158230.1000000000000000,166731444.264
2021-04-11T00:00:00+00:00,158577.1000000000000000,167478906.554
2021-04-10T00:00:00+00:00,159096.2000000000000000,168588036.378
2021-04-09T00:00:00+00:00,153852.7000000000000000,157739864.098
2021-04-08T00:00:00+00:00,151551.0000000000000000,152950855.01
2021-04-07T00:00:00+00:00,151099.0000000000000000,152061404.89
2021-04-06T00:00:00+00:00,150567.6000000000000000,150918963.97199997
2021-04-05T00:00:00+00:00,144161.6000000000000000,137240296.23199996
2021-04-04T00:00:00+00:00,147696.3000000000000000,144562250.54699996
2021-04-03T00:00:00+00:00,143725.0000000000000000,136578944.72199997
2021-04-02T00:00:00+00:00,145199.3000000000000000,139719292.17999998
2021-04-01T00:00:00+00:00,147419.1000000000000000,144084173.71199998
2021-03-31T00:00:00+00:00,149177.3000000000000000,147450300.35799998
2021-03-30T00:00:00+00:00,153585.6000000000000000,155565848.40899998
2021-03-29T00:00:00+00:00,161434.5000000000000000,169829732.86799997
2021-03-28T00:00:00+00:00,166887.5000000000000000,179007513.57799998
2021-03-27T00:00:00+00:00,169374.4000000000000000,183264290.57
2021-03-26T00:00:00+00:00,170340.6000000000000000,184904163.85799998
2021-03-25T00:00:00+00:00,172861.0000000000000000,188904819.982
2021-03-24T00:00:00+00:00,176131.1000000000000000,194092604.725
2021-03-23T00:00:00+00:00,178196.0000000000000000,197547822.544
2021-03-22T00:00:00+00:00,179608.5000000000000000,199929594.169
2021-03-21T00:00:00+00:00,179936.3000000000000000,200514212.357
2021-03-20T00:00:00+00:00,179762.2000000000000000,200199740.75
2021-03-19T00:00:00+00:00,182728.2000000000000000,205576505.55
2021-03-18T00:00:00+00:00,180628.7000000000000000,201843447.585
2021-03-17T00:00:00+00:00,183852.3000000000000000,207724744.60500002
2021-03-16T00:00:00+00:00,182893.8000000000000000,205995850.23000002
2021-03-15T00:00:00+00:00,178078.7000000000000000,197366661.36900002
2021-03-14T00:00:00+00:00,178624.7000000000000000,198377705.94900003
2021-03-13T00:00:00+00:00,181795.4000000000000000,204472045.00500003
2021-03-12T00:00:00+00:00,181361.8000000000000000,203705349.14900002
2021-03-11T00:00:00+00:00,180711.4000000000000000,202519045.56500003
2021-03-10T00:00:00+00:00,180608.5000000000000000,202334079.72800002
2021-03-09T00:00:00+00:00,177813.2000000000000000,197114080.60200003
2021-03-08T00:00:00+00:00,178138.7000000000000000,197708752.82700002
2021-03-07T00:00:00+00:00,181006.5000000000000000,202653757.72300002
2021-03-06T00:00:00+00:00,188891.5000000000000000,215698938.27300003
2021-03-05T00:00:00+00:00,189463.5000000000000000,216575682.71300003
2021-03-04T00:00:00+00:00,192372.3000000000000000,221057707.19300002
2021-03-03T00:00:00+00:00,184450.5000000000000000,208600518.25700003
2021-03-02T00:00:00+00:00,175265.0000000000000000,194896395.24200004
2021-03-01T00:00:00+00:00,172945.8000000000000000,191259704.10600004
2021-02-28T00:00:00+00:00,172308.3000000000000000,190356621.60600004
2021-02-27T00:00:00+00:00,171681.8000000000000000,189441248.72100005
2021-02-26T00:00:00+00:00,170884.9000000000000000,188289855.72500005
2021-02-25T00:00:00+00:00,170034.2000000000000000,187033414.36000004
2021-02-24T00:00:00+00:00,168668.8000000000000000,184814571.09000003
2021-02-23T00:00:00+00:00,170792.7000000000000000,188157186.14900002
2021-02-22T00:00:00+00:00,171951.4000000000000000,190220993.06700003
2021-02-21T00:00:00+00:00,178060.1000000000000000,202040228.00100002
2021-02-20T00:00:00+00:00,177323.6000000000000000,200627731.476
2021-02-19T00:00:00+00:00,175460.3000000000000000,196975682.109
2021-02-18T00:00:00+00:00,173561.5000000000000000,193304276.357
2021-02-17T00:00:00+00:00,172367.1000000000000000,191098004.565
2021-02-16T00:00:00+00:00,166447.5000000000000000,180548626.209
2021-02-15T00:00:00+00:00,162363.7000000000000000,173281871.651
2021-02-14T00:00:00+00:00,154239.9000000000000000,158654969.751
2021-02-13T00:00:00+00:00,140015.0000000000000000,132928669.105
2021-02-12T00:00:00+00:00,132032.3000000000000000,118257344.602
2021-02-11T00:00:00+00:00,126467.9000000000000000,108347482.066
2021-02-10T00:00:00+00:00,115130.6000000000000000,88607202.052
2021-02-09T00:00:00+00:00,108362.9000000000000000,76651924.648
2021-02-08T00:00:00+00:00,104879.6000000000000000,70577432.611
2021-02-07T00:00:00+00:00,106423.5000000000000000,73060255.396
2021-02-06T00:00:00+00:00,108219.0000000000000000,76065635.116
2021-02-05T00:00:00+00:00,108267.4000000000000000,76148513.824
2021-02-04T00:00:00+00:00,107374.5000000000000000,74726668.793
2021-02-03T00:00:00+00:00,106377.4000000000000000,73074872.933
2021-02-02T00:00:00+00:00,106668.6000000000000000,73514063.685
2021-02-01T00:00:00+00:00,106220.6000000000000000,72901522.245
2021-01-31T00:00:00+00:00,106033.8000000000000000,72656739.525
2021-01-30T00:00:00+00:00,105128.9000000000000000,71414628.54
2021-01-29T00:00:00+00:00,105533.3000000000000000,71971960.488
2021-01-28T00:00:00+00:00,102736.2000000000000000,68260320.672
2021-01-27T00:00:00+00:00,99569.4000000000000000,64305082.476
2021-01-26T00:00:00+00:00,102042.7000000000000000,67672134.164
2021-01-25T00:00:00+00:00,102561.9000000000000000,68357363.94
2021-01-24T00:00:00+00:00,103728.4000000000000000,69973421.375
2021-01-23T00:00:00+00:00,105398.1000000000000000,72031326.625
2021-01-22T00:00:00+00:00,103621.2000000000000000,69834296.389
2021-01-21T00:00:00+00:00,102731.3000000000000000,68837332.52
2021-01-20T00:00:00+00:00,102508.0000000000000000,68529801.527
2021-01-19T00:00:00+00:00,99079.0000000000000000,63823841.92699999
2021-01-18T00:00:00+00:00,97514.0000000000000000,61857982.82699999
2021-01-17T00:00:00+00:00,96359.1000000000000000,60436462.61299999
2021-01-16T00:00:00+00:00,95010.9000000000000000,58778945.08699999
2021-01-15T00:00:00+00:00,95631.5000000000000000,59505760.77699999
2021-01-14T00:00:00+00:00,87894.5000000000000000,50010372.786999986
2021-01-13T00:00:00+00:00,87764.6000000000000000,49863616.962999985
2021-01-12T00:00:00+00:00,87245.2000000000000000,49317436.698999986
2021-01-11T00:00:00+00:00,89949.7000000000000000,52269155.043999985
2021-01-10T00:00:00+00:00,85991.0000000000000000,47272602.664999984
2021-01-09T00:00:00+00:00,85780.2000000000000000,47002175.77699999
2021-01-08T00:00:00+00:00,85845.2000000000000000,47081612.926999986
2021-01-07T00:00:00+00:00,85728.3000000000000000,46938109.99399999
2021-01-06T00:00:00+00:00,83273.7000000000000000,43971897.71599999
2021-01-05T00:00:00+00:00,80678.5000000000000000,41109080.691999994
2021-01-04T00:00:00+00:00,78325.1000000000000000,38650766.12
2021-01-03T00:00:00+00:00,78855.9000000000000000,39170849.268
2021-01-02T00:00:00+00:00,77663.2000000000000000,38246959.994
2021-01-01T00:00:00+00:00,75373.2000000000000000,36574114.994
2020-12-31T00:00:00+00:00,73689.5000000000000000,35331746.438
2020-12-30T00:00:00+00:00,72081.4000000000000000,34122519.562
2020-12-29T00:00:00+00:00,73429.7000000000000000,35109812.236999996
2020-12-28T00:00:00+00:00,70651.4000000000000000,33082097.764999993
2020-12-27T00:00:00+00:00,70956.8000000000000000,33290820.340999994
2020-12-26T00:00:00+00:00,71739.7000000000000000,33788627.305999994
2020-12-25T00:00:00+00:00,66261.0000000000000000,30363179.705
2020-12-24T00:00:00+00:00,64135.2000000000000000,29062615.264999997
2020-12-23T00:00:00+00:00,61291.0000000000000000,27398075.656999998
2020-12-22T00:00:00+00:00,57830.8000000000000000,25195000.919
2020-12-21T00:00:00+00:00,54438.7000000000000000,23130670.622
2020-12-20T00:00:00+00:00,54276.0000000000000000,23026718.338000003
2020-12-19T00:00:00+00:00,48764.5000000000000000,19392821.043
2020-12-18T00:00:00+00:00,44288.4000000000000000,16461199.348000001
2020-12-17T00:00:00+00:00,42898.4000000000000000,15566956.748000002
2020-12-16T00:00:00+00:00,43582.6000000000000000,16002675.834
2020-12-15T00:00:00+00:00,40216.7000000000000000,14018511.443
2020-12-14T00:00:00+00:00,40287.2000000000000000,14059862.513
2020-12-13T00:00:00+00:00,41109.7000000000000000,14545318.463
2020-12-12T00:00:00+00:00,39043.2000000000000000,13370513.213
2020-12-11T00:00:00+00:00,35103.4000000000000000,11218791.443
2020-12-10T00:00:00+00:00,36599.1000000000000000,12055351.41
2020-12-09T00:00:00+00:00,35093.3000000000000000,11217539.348
2020-12-08T00:00:00+00:00,35046.2000000000000000,11191369.174999999
2020-12-07T00:00:00+00:00,35035.6000000000000000,11185094.398999998
2020-12-06T00:00:00+00:00,39340.1000000000000000,13777522.568999998
2020-12-05T00:00:00+00:00,36427.4000000000000000,12037126.064999998
2020-12-04T00:00:00+00:00,36147.1000000000000000,11877663.394999998
2020-12-03T00:00:00+00:00,36205.7000000000000000,11913802.600999998
2020-12-02T00:00:00+00:00,36836.4000000000000000,12291509.909999998
2020-12-01T00:00:00+00:00,36238.0000000000000000,11940057.621999998
2020-11-30T00:00:00+00:00,38337.9000000000000000,13233092.045999998
2020-11-29T00:00:00+00:00,38274.9000000000000000,13196821.055999998
2020-11-28T00:00:00+00:00,37016.3000000000000000,12518876.165999997
2020-11-27T00:00:00+00:00,36084.2000000000000000,12035507.747999998
2020-11-26T00:00:00+00:00,34781.6000000000000000,11358325.085999997
2020-11-25T00:00:00+00:00,32929.6000000000000000,10297258.725999998
2020-11-24T00:00:00+00:00,34428.5000000000000000,11203853.401999999
2020-11-23T00:00:00+00:00,33473.6000000000000000,10622777.654
2020-11-22T00:00:00+00:00,32303.4000000000000000,9967594.375999998
2020-11-21T00:00:00+00:00,32435.9000000000000000,10040596.575999998
2020-11-20T00:00:00+00:00,30723.2000000000000000,9166691.400999997
2020-11-19T00:00:00+00:00,30976.4000000000000000,9286163.820999997
2020-11-18T00:00:00+00:00,32308.9000000000000000,9924338.045999996
2020-11-17T00:00:00+00:00,30939.5000000000000000,9263835.343999997
2020-11-16T00:00:00+00:00,30906.2000000000000000,9248467.393999998
2020-11-15T00:00:00+00:00,30926.1000000000000000,9257423.189999998
2020-11-14T00:00:00+00:00,31574.8000000000000000,9556908.518999998
2020-11-13T00:00:00+00:00,31151.8000000000000000,9355141.748999998
2020-11-12T00:00:00+00:00,35085.3000000000000000,11175880.228999998
2020-11-11T00:00:00+00:00,40251.1000000000000000,13575032.723
2020-11-10T00:00:00+00:00,36869.9000000000000000,12049705.779
2020-11-09T00:00:00+00:00,36221.6000000000000000,11761478.081999999
2020-11-08T00:00:00+00:00,33460.0000000000000000,10505585.249999998
2020-11-07T00:00:00+00:00,32701.2000000000000000,10174816.741999999
2020-11-06T00:00:00+00:00,32740.1000000000000000,10192542.304999998
2020-11-05T00:00:00+00:00,33168.4000000000000000,10370907.839999998
2020-11-04T00:00:00+00:00,31736.0000000000000000,9795054.391999997
2020-11-03T00:00:00+00:00,31236.8000000000000000,9601519.543999998
2020-11-02T00:00:00+00:00,31599.0000000000000000,9740640.563999997
2020-11-01T00:00:00+00:00,32125.9000000000000000,9949371.998999998
2020-10-31T00:00:00+00:00,32041.7000000000000000,9916809.332999999
2020-10-30T00:00:00+00:00,32905.9000000000000000,10247927.563
2020-10-29T00:00:00+00:00,33603.8000000000000000,10518328.918
2020-10-28T00:00:00+00:00,32721.2000000000000000,10174935.736
2020-10-27T00:00:00+00:00,30552.2000000000000000,9298963.396
2020-10-26T00:00:00+00:00,29846.5000000000000000,9020861.14
2020-10-25T00:00:00+00:00,29505.7000000000000000,8882298.676
2020-10-24T00:00:00+00:00,29621.1000000000000000,8929930.026
2020-10-23T00:00:00+00:00,28856.8000000000000000,8616620.527
