day,daily_circulatingsupply
2021-10-05T00:00:00+00:00,156800278.26648269183098505100
2021-10-06T00:00:00+00:00,153876557.91624897878771895100
2021-10-07T00:00:00+00:00,154339962.40080269647971895100
2021-10-08T00:00:00+00:00,155191002.47815653143328225100
2021-10-09T00:00:00+00:00,140653915.98770599473628225100
2021-10-10T00:00:00+00:00,139439123.92106606326575855100
2021-10-11T00:00:00+00:00,128376009.37388273787575855100
2021-10-12T00:00:00+00:00,128505095.02188003936204865100
2021-10-13T00:00:00+00:00,127657742.77002128726937165100
2021-10-14T00:00:00+00:00,123955804.05322318177027925100
2021-10-15T00:00:00+00:00,145378038.13558687578727925100
2021-10-16T00:00:00+00:00,157249035.36474558122249945100
2021-10-17T00:00:00+00:00,168481248.32401063998342505100
2021-10-18T00:00:00+00:00,168574444.55144992261141595100
2021-10-19T00:00:00+00:00,168147093.59090818979390005100
2021-10-20T00:00:00+00:00,165318265.04774884764999775100
2021-10-21T00:00:00+00:00,164940113.08026700844573555100
2021-10-22T00:00:00+00:00,164952654.41882491206559246700
2021-10-23T00:00:00+00:00,164749040.20743950067419736700
2021-10-24T00:00:00+00:00,166415014.84473430447008976700
2021-10-25T00:00:00+00:00,169305286.45077418874808976700
2021-10-26T00:00:00+00:00,148787300.82653043809108976700
2021-10-27T00:00:00+00:00,140869248.06951524623278646700
2021-10-28T00:00:00+00:00,140991027.14477216319648156700
2021-10-29T00:00:00+00:00,140999140.46671458110706886700
2021-10-30T00:00:00+00:00,148480005.14415409400170306700
2021-10-31T00:00:00+00:00,148652856.49663747946106446700
2021-11-01T00:00:00+00:00,148119162.63395990616006446700
2021-11-02T00:00:00+00:00,148028150.03367157226206446700
2021-11-03T00:00:00+00:00,150014238.24828546270739346700
2021-11-04T00:00:00+00:00,149661279.67017708639539346700
2021-11-05T00:00:00+00:00,149666011.85808519317806306700
2021-11-06T00:00:00+00:00,150312955.15046895623106306700
2021-11-07T00:00:00+00:00,148592841.89578816056980806700
2021-11-08T00:00:00+00:00,154191643.37457797900695276700
2021-11-09T00:00:00+00:00,153793299.28007345365095276700
2021-11-10T00:00:00+00:00,156759850.64375001248852846700
2021-11-11T00:00:00+00:00,156946020.54523491618690426700
2021-11-12T00:00:00+00:00,157032191.14431507249793986700
2021-11-13T00:00:00+00:00,156093100.15369819772800296700
2021-11-14T00:00:00+00:00,156040309.56961904943144706700
2021-11-15T00:00:00+00:00,155743965.16225230949344706700
2021-11-16T00:00:00+00:00,154024501.53746646414144706700
2021-11-17T00:00:00+00:00,153852146.06256990322074326700
2021-11-18T00:00:00+00:00,153111694.13673429449382486700
2021-11-19T00:00:00+00:00,152547017.71389197378230456700
2021-11-20T00:00:00+00:00,152429373.64948658694130456700
2021-11-21T00:00:00+00:00,152334903.83428774702839776700
2021-11-22T00:00:00+00:00,152048254.82359720271139776700
2021-11-23T00:00:00+00:00,152039205.37879079656139776700
2021-11-24T00:00:00+00:00,139709052.17086960184240666700
2021-11-25T00:00:00+00:00,140455056.98671563762513496700
2021-11-26T00:00:00+00:00,140348519.85737641530813496700
2021-11-27T00:00:00+00:00,140283726.51835503407129446700
2021-11-28T00:00:00+00:00,139870734.46279730103458626700
2021-11-29T00:00:00+00:00,139886616.54249804709458626700
2021-11-30T00:00:00+00:00,140862896.60679318259258626700
2021-12-01T00:00:00+00:00,136277131.34545479568813306700
2021-12-03T00:00:00+00:00,129859786.23063910822426316700
2021-12-04T00:00:00+00:00,138623067.35974856879526316700
2021-12-05T00:00:00+00:00,138328923.55803183647526316700
2021-12-06T00:00:00+00:00,137607535.37978964324026316700
2021-12-07T00:00:00+00:00,137592605.06488457809226316700
2021-12-08T00:00:00+00:00,137594479.33276961573801196700
2021-12-09T00:00:00+00:00,136425608.97197447472197036700
2021-12-10T00:00:00+00:00,134557083.29258235337125276700
2021-12-11T00:00:00+00:00,134495041.39106743123854706700
2021-12-12T00:00:00+00:00,133985730.90122893671740186700
2021-12-13T00:00:00+00:00,133384744.43326523231880126700
2021-12-14T00:00:00+00:00,133387730.69126830357183556700
2021-12-15T00:00:00+00:00,133381444.64639323105547846700
2021-12-16T00:00:00+00:00,132071605.72938200976533696700
2021-12-17T00:00:00+00:00,123243085.07110258102742476700
2021-12-18T00:00:00+00:00,135266628.66917776257471276700
2021-12-19T00:00:00+00:00,135766573.02160303947371276700
2021-12-20T00:00:00+00:00,136787765.54651684770624366700
2021-12-21T00:00:00+00:00,148234254.05626939864500616700
2021-12-22T00:00:00+00:00,148233266.63822644666284816700
2021-12-23T00:00:00+00:00,148031562.36176469895503486700
2021-12-24T00:00:00+00:00,147681523.44611951598516756700
2021-12-25T00:00:00+00:00,142701673.17534886599865226700
2021-12-26T00:00:00+00:00,144033495.63619281405035276700
2021-12-27T00:00:00+00:00,148584992.46685793958623826700
