hour,totalLQTYStaked,totalLQTYClaimed
2022-02-12T10:00:00+00:00,,15389645.283323322581288144000000000000000000
2022-02-12T11:00:00+00:00,,15389694.567844441875705244000000000000000000
2022-02-12T12:00:00+00:00,12163572.583876936594,15389694.567844441875705244000000000000000000
2022-02-12T13:00:00+00:00,12163699.463876936595,15389694.567844441875705244000000000000000000
2022-02-12T14:00:00+00:00,12162951.313876936595,15389694.567844441875705244000000000000000000
2022-02-12T15:00:00+00:00,12162695.703050296913,15390470.072675498433567644000000000000000000
2022-02-12T16:00:00+00:00,12163609.826344022049,15391270.304065187935431044000000000000000000
2022-02-12T17:00:00+00:00,12169422.312737670159,15391315.538059688966256144000000000000000000
2022-02-12T18:00:00+00:00,12179334.037168988496,15393624.018709223158926767000000000000000000
2022-02-12T23:00:00+00:00,12184260.480453860840,15393624.018709223158926767000000000000000000
2022-02-13T03:00:00+00:00,12204554.169855816965,15393624.018709223158926767000000000000000000
2022-02-13T04:00:00+00:00,12210990.456841918925,15393624.018709223158926767000000000000000000
2022-02-13T05:00:00+00:00,12210232.610637978505,15393686.775438500690840267000000000000000000
2022-02-13T07:00:00+00:00,12210700.851499881535,15393974.735268574783641465000000000000000000
2022-02-13T08:00:00+00:00,12213275.824745576009,15399075.794848573380055965000000000000000000
2022-02-13T09:00:00+00:00,12215555.460926154590,15399924.474332929009490965000000000000000000
2022-02-13T10:00:00+00:00,12215580.028095357933,15400004.039457804540185765000000000000000000
2022-02-13T11:00:00+00:00,12197670.205535962527,15400218.361168360030078365000000000000000000
2022-02-13T12:00:00+00:00,12216288.225496771252,15400218.361168360030078365000000000000000000
2022-02-13T13:00:00+00:00,12220014.265496771252,15400343.289060379002899565000000000000000000
2022-02-13T15:00:00+00:00,12220035.945937931782,15426992.152892247202899565000000000000000000
2022-02-13T16:00:00+00:00,12219973.843384140734,15426992.152892247202899565000000000000000000
2022-02-13T19:00:00+00:00,12216773.843384140734,15427068.659471967102202014000000000000000000
2022-02-13T20:00:00+00:00,12217120.403790859805,15427068.659471967102202014000000000000000000
2022-02-13T21:00:00+00:00,,15445465.752226722730202014000000000000000000
2022-02-13T22:00:00+00:00,12217330.723790859805,15445465.752226722730202014000000000000000000
2022-02-14T00:00:00+00:00,12199741.851638841668,15447978.020878731193459914000000000000000000
2022-02-14T01:00:00+00:00,12199933.527738348919,15450185.664310467782368414000000000000000000
2022-02-14T02:00:00+00:00,12205063.157738348919,15454503.328949638853024914000000000000000000
2022-02-14T04:00:00+00:00,12205314.610152564255,15455073.228905912883047014000000000000000000
2022-02-14T05:00:00+00:00,12206333.076245371289,15455073.228905912883047014000000000000000000
2022-02-14T07:00:00+00:00,12206482.938521508165,15455240.683269744524142961000000000000000000
2022-02-14T09:00:00+00:00,12206427.069959737609,15455314.734829472163966961000000000000000000
2022-02-14T10:00:00+00:00,12206525.877719967609,15465638.113798364875830761000000000000000000
2022-02-14T11:00:00+00:00,12208310.703930550274,15467656.777336123974015051000000000000000000
2022-02-14T13:00:00+00:00,12209490.113930550274,15467656.777336123974015051000000000000000000
2022-02-14T17:00:00+00:00,,15467948.753024775209564351000000000000000000
2022-02-14T20:00:00+00:00,12211005.113930550274,15467948.753024775209564351000000000000000000
2022-02-14T21:00:00+00:00,12211255.151462556108,15468159.978574368805142651000000000000000000
2022-02-15T00:00:00+00:00,,15468321.370614829053638251000000000000000000
2022-02-15T02:00:00+00:00,,15470233.708028483797573051000000000000000000
2022-02-15T03:00:00+00:00,,15470244.922947383537725751000000000000000000
2022-02-15T04:00:00+00:00,12211685.611462556108,15470244.922947383537725751000000000000000000
2022-02-15T05:00:00+00:00,,15470244.922947383537725751000000000000000000
2022-02-15T06:00:00+00:00,12211694.978580639527,15470260.430210385721399951000000000000000000
2022-02-15T08:00:00+00:00,12212916.363151726066,15470363.510028863243938651000000000000000000
2022-02-15T12:00:00+00:00,,15470539.872029572440161951000000000000000000
2022-02-15T14:00:00+00:00,12206498.305667520993,15471117.713251404227919982000000000000000000
