block_time,tornado_pool,torn_fee,fee_contract_address,gas_fee,additional_eth,relayers_fee,relayer,tx_hash
2022-03-02T06:22:00+00:00,10 ETH,2.3813067729083666,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01351660566829302400,0,0.0579705,\x9f9f98e28456eeefc4af1c990a170e2b0d2d6027,\x2f0204e6651d7f186728062fcb7594190e9cc4027ca79fccad98d95f82951adc
2022-03-02T06:22:00+00:00,1 ETH,0.23813067729083665,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01395024966402271200,0,0.0275,\x2ca1a9d6c79367ea1ea481fc0a5e8c5bd6c62d25,\x4319f681613e2298fc425b2e7d049fdb9bb3166e283037eaa441ada2847d0c52
2022-03-02T06:18:00+00:00,10 ETH,2.3775396825396826,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01666407012359187000,0,0.057008,\x9f9f98e28456eeefc4af1c990a170e2b0d2d6027,\x000bd1c7d933d9413d6b0342dd559ea998e05c382ade54858c6efcc4af137bdc
2022-03-02T06:16:00+00:00,1 ETH,0.23775396825396827,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01299205159371367200,0,0.0254395,\x20bb3095a4852f4c97d7a188e9f7183c85acfc49,\x1cc4da015ddd744788eb105364cd1e90c4b2d5e79730b683eea3fa87cac613b8
2022-03-02T06:13:00+00:00,1 ETH,0.23749656810982048,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.02033079280154942300,0,0.030002,\x9f9f98e28456eeefc4af1c990a170e2b0d2d6027,\x7cf2a70bb289c85ee7039d1aec32adfa6a80f19b86aca20f07a6d319f889a3d6
2022-03-02T06:10:00+00:00,1 ETH,0.23749656810982048,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01695845028349691000,0,0.025184,\x9f9f98e28456eeefc4af1c990a170e2b0d2d6027,\xec95e0f5b2e21c593e3770d5e83f2a9b017ece707c7388b167adc65a08398aff
2022-03-02T05:55:00+00:00,10000 DAI,0.7918046401265489,\x6b175474e89094c44da98b954eedeac495271d0f,0.01982096519082176400,0.00617100000000000000,146.16227977836797,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\x5e21164afb25e6cfa8d863a21d2c7add0b5734cfdde557e4a011a51f1c8104ad
2022-03-02T05:53:00+00:00,10000 DAI,0.7906833508956796,\x6b175474e89094c44da98b954eedeac495271d0f,0.02010616314561650000,0.00582780000000000000,139.97607797431886,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\x98f71af53ac5616ec89724343f87b660ec76afa3958f06fe25eafbfb6e138cdf
2022-03-02T05:53:00+00:00,10000 DAI,0.7906833508956796,\x6b175474e89094c44da98b954eedeac495271d0f,0.02097490368872595000,0.00614460000000000000,150.68738397080864,\xbe4d1e137a24af091be80ae58d652279665e3a27,\xe184346cdaadba2ef77a372afc14de3ea1527c4c215c6e0c74e99e8cd963b309
2022-03-02T05:53:00+00:00,10000 DAI,0.7906833508956796,\x6b175474e89094c44da98b954eedeac495271d0f,0.02010446129269550000,0.00556600000000000000,134.76445477254273,\x18f516dd6d5f46b2875fd822b994081274be2a8b,\x40f60065e876d7b8c0a5ced0539bf97ed811f55067757624e2fde82af2c62dbf
