staker,sum
\xd1a8b3ef24154df24d1b4bcf3baacd7fcaabac59,2546.5544869900000000
\x6c5c3f27004cb5d03b094054d0f01d97ac8b0b7b,2273.1220000000000000
\x3b06f4fcdf17cbcd4dc9681758950f4406475f05,2196.1148326634577582
\x5df6a71c62895b22b73c4fd5d015526876819366,2112.1256822136895376
\xbcac08604bb50659f971938953cfcdaedef0a2c4,2100.0000000000000000
\x40d16c473cb7bf5fab9713b27a4562eaa6f915d1,2062.7329716883556028
\x7d7ee25bd002f9db912a8b304360a192699b6549,2051.9833893237604176
\xd6187b4a0f51355a36764558d39b2c21ac12393d,2000.0000000000000000
\x8953c798a6f54ea8907875c51e5d466de76a1b26,1996.9703393912235401
\x9c33610553f770cbe3bd70a76d20c79543c1d86a,1878.1322845631406999
\x5e3c66fd2375141ca6409400ec574b37a7f43cb8,1856.0909950698321609
\x26ae38c243ceeefdbcaf3c73ee84289aa48e22c5,1803.6036404784421240
\x1d50713a0a9a0dad5091b6413651fd414c1a2489,1727.5012100000000000
\x9c42ebdf0fa6fa0274aeebf981613dfa9c99bff8,1710.2826859162146653
\x6e05393219f7ca750f7c1f1d26e2197dff3025b5,1673.98565140439191780000
\x487ad56dc6347842f268693f142b5e6bfd266e28,1587.5972696571564126
\xbcb9c5e230786ec2e39e131dd6c6337abc9f170e,1490.4826915223663185
\x24aa0566fc4a75a740a0bc5fcb1509d6621932d0,1437.3504972717835876
\x03da0543aad12e681f71f17ff9e9b9747a9f077c,1396.2361223437628259
\x53380cd390f59965d67bd21c1b07b3071fdd7101,1324.7104003351949908
\x97a6c796fe543cabc2ca7ae026206e8b260c4da0,1314.8096707620725056
\x737c295c1820b9d2d8743b8ab98d23ba5748e7ad,1313.8448209488097319
\xd3660816c68ef4db79d2ccbfa2e6d623dfd65699,1242.1168010522032670
\xee1d1ac27a80de54f0ba92b2e25ebb3418495db2,1200.0000000000000000
\x430e9e37367a272753d6d49b87fdc555155065f6,1068.8200000000000000
\xcbc3906efe25ed7cf06265f6b02e83db67ef41ac,1045.2520998888674041
\x93ebf65d919fc6d9b2bd655108abec7af33f9542,1015.6792530417408924
\xadfd5ec169a18e6f78c9b9f31f42948efec67de5,1002.2771079792929006
\x41e59bdc158e8f3bba0c3e2dded20a3283894d61,1000.0000000000000000
\x647e9e26da82c29aafbbfb1c3f45d916aa9b300d,999.99999999999999999600
\xe50bfee2a573b00d656a2bab43384c1f3bf74084,950.0000000000000000
\xe443cbad516ee9b00a2cbe7f884a4bb314776de3,945.1409065622086812
\xeafa6fbaebb26f9d07b42f3fd8906818ce75026f,922.2364964910564553
\x8bd0b78950fba7da35cf6eef708cc9b8e2520404,921.2667498152991666
\xb631651cb570ba0c0d696bd5e4860cbd214f20a0,895.6279319522604357
\x65c6aa5521f9b149e918a9a44a44fd651df0aff3,871.4858498189845113
\xa6edc956290b7ce416c5d8edc67e1c32506fe099,852.2426467210412759
\xa3a7eae904e92fa67c1888c6572ac884722f5288,850.0037691443285079
\xfbd35fb101d6964c07fc537d3047ea2a56b00e87,848.3807864937083729
\x90e14e059b28af64b52d4da0442b22052f507ef1,846.9862557611174533
\x093f388e64b662df95eb3d6acc568c98b7df224f,839.0000000000000000
\x85f8bec61f75de3dbad1bbd4cdd168ea362bdaea,826.6500000000000000
\x009610ae32d286d134ac048ca15ff1dd271dcacf,806.9748231229824235
\xddbfced30862c0105673b38dff5e941cf48830e4,805.7505459478173786
\xa4d46f321ffc968e2d1b9dd5c3385d3374210be5,800.0035500000000000
\x0d57dca1b658da56fabc86d94a08ba07557c2a08,786.0754021576367000
\xade9e51c9e23d64e538a7a38656b78ab6bcc349e,780.8664288755340434
\x832217764a804d1aae4007a2bc4f5b6527a979d0,763.0000000000000000
\xb03384ca294c06e8d04b08412e8467ff2363e5e3,757.1043296240381319
\x15ed2710d0097ce9bc352db97287bdd9104bec92,720.6788780727272741
\x6880be4fbf69048158254a74c2926b4d14f0e072,691.9289200000000000
\x7dcad1b87b138bfdad05b80c1e0bd2f7864a8f93,689.6233454400000000
\x97b90fbc8904f861f76cb06bfa0a465b72c5e662,681.1572720000000000
\x6e94cea00b9b094ddef598ebc6c3573c0cb14122,655.9589225003659717
\xaaeba4b14641f7cf01c03190f2a585defe6e601a,613.2232617663657580
\x95be36b3f6a5dc958c59a4a81fdf0bee671f26f3,608.3733333466067144
\x13a1bfc3496555ea944e2c60ee5c607f43cdcb7e,603.7144843866896762
\xc21076b4afb51e46965019ed50225542af8d4cc8,600.0000000000000000
\x11fd8380fcef61e7d1fc054d4ba20d7230a5593a,599.5548751552963331
\xf544d5e598482f0bc64bde46d72c851a68ea2970,563.0000000000000000
\x06ac0ae5352d1ab7b4492f13cc9b230263f99f06,533.3572764818471163
\xa42e82c8cb31068b240772ec69685ffc59b7fd11,525.0544895812398978
\xe09fcbe1937316dc65cbc6c393b0dfd486d84279,522.0434610636287130
\x2fc1798acc7e79aa10daf767173c7a94b416a1e8,516.2600000000000000
\xefab18983029d2ba840e34698efb67fdf8120711,514.5953184439603860
\x92f82ef0d08d8ada7f542fc300adfd0b712b5963,508.5301248552870614
\x3bf891c4b36244aa0d60ff703dbce13181282452,500.6829901662386983
\xb3300a0eaef705e52698003fa16e3dac036c4675,500.0000000000000000
\x1da81137c7848020f1884710c3a7467e05f1b3a8,499.9999999999999975
\x4f50d47d20380172746527bbeaa274940c38efac,451.9152701915535725
\x5b289086efcf3ee67a7f969452c19b54e9ebefb3,438.7923000000000000
\xf989a2a06b054cbdcb8dae7ce6452d0fccb44586,433.0800000000000000
\x952c23f8f067a5e7e165ff0e42491f51d87dbc95,414.7723737967809011
\x50a259a4ac82ff596ac929bbe120846677f04384,409.7806360000000000
\x66b034622eb1ee1b56adf36f957e2086d51a215d,404.3998084220908828
\xe9563fce6db466c16e733703dd2d6b1519091bf6,404.0000000000000000
\x3a409eff50a47aeef294e3f0bb3874490dd99abc,400.4482380026020398
\x4dbd438a45fc9ea6635a7c1f5f8f2dceaf565ef4,394.0313251413856266
\xb2da76a7dbcc390d5433d3f7fb134c94fb0c07d2,379.4903441494486695
\x60b1191c5cafb754fa19b2c82a8400a5d477aecd,373.8153615722191468
\x6ea8bfaa4697187d3bb1e27688931d73bcbbec0b,373.5302387953881597
\x25713b024a8004727ba79c43647a77c7447948db,351.2039244000000000
\x96427109835d2cb6ba483a351c576b127cb28a41,344.0724989502211872
\x13f86718bf3e0498b3891acaa9f02ad657988753,343.5260505700060441
\x9220910945de631feec536748b56945d0fbfd2ee,334.4000000000000000
\x90409474549e8fa2c1b8db968e5aac5bb5c199ab,330.6949267081698407
\xe7d965a2371c07d5b8332a417c82bf2e0f537c93,327.9331954239405449
\xccbb258aa3e9b06e009885ecbf03764eb7662dce,325.9013707800000000
\xc9699996d5201ace61b3a25f2fa547e2f12bdaee,321.0000000000000000
\x617e24fcdf3e283cf374e950918ecb960253ffb2,313.2482004297289668
\x5be3bd1d263643be7582dbb7cb453873a0ec6657,313.2350481747656920
\x39978cc40e2d1d7e127050bdfffbb0dfcfaebad0,311.7334685996441291
\x59908bedf8d0bd2c0150efeaf1ee51b4b825f42f,311.5148100000000000
\x3c57d8e4c6b02a499e4bcdd1c058c45866c37ed6,309.0500000000000000
\x9c74abc0114aebb71b24cf4be17b9c1285c22661,308.3625900000000000
