hour,lusdDai,lusdUsdc,lusdUsdt,daiOut,usdcOut,usdtOut,lusdIn,daiIn,usdcIn,usdtIn,lusdOut
2021-11-14T00:00:00+00:00,0.99892380509635683877,0.99960224615070242311,0.99862028023575296179,0,4892.4645520000000000,0,-4900.0000000000000000,0,300000.000000000000,0,-300113.784959056288
2021-11-14T01:00:00+00:00,0.99892380509635683877,0.99989087587323018108,0.99862028023575296179,0,0,0,0,0,1300000.000000000000,0,-1300141.876846987801
2021-11-14T07:00:00+00:00,0.99892380509635683877,0.99989087587323018108,0.99886898410956070945,0,0,29930.892558000000,-29964.783203957244,0,0,0,0
2021-11-14T10:00:00+00:00,0.99892380509635683877,0.99989087587323018108,0.99885969359720894143,0,0,9187.1552290000000000,-9197.6433606146976089,0,0,0,0
2021-11-14T11:00:00+00:00,0.99945375524627863174,0.99989087587323018108,0.99885969359720894143,248085.295730012576,0,0,-248299.611398872987,102375.000000000000,0,0,-102352.226057733018
2021-11-14T12:00:00+00:00,0.99945375524627863174,0.99989087587323018108,0.99879100578845338543,0,0,89888.618734000000,-89997.425100000000,0,0,0,0
2021-11-14T13:00:00+00:00,1.00014291988951794745,1.0000609378311123,0.99879100578845338543,0,0,0,0,103115.221381758062,50000.000000000000,0,-153097.439565754903
2021-11-14T14:00:00+00:00,1.00014291988951794745,1.0000609378311123,0.99999941715494541514,0,0,0,0,0,0,244582.085369000000,-244582.227922541984
2021-11-14T15:00:00+00:00,1.00028337648947203095,1.0000609378311123,0.99999941715494541514,0,0,0,0,151003.0000000000000000,0,0,-150960.2214224033988427
2021-11-14T16:00:00+00:00,1.00033862372004932245,1.0000609378311123,0.99999941715494541514,0,0,0,0,180712.558064504147,0,0,-180651.385220408749
2021-11-14T17:00:00+00:00,1.00043006406304340004,1.00040874240495100007,0.99902831378806110931,0,0,149226.935633000000,-149372.078422051362,561194.854407940075,222176.271753000000,0,-783039.104413187124
2021-11-14T18:00:00+00:00,1.0006103144960867,1.00040874240495100007,0.99902831378806110931,0,0,0,0,180000.000000000000,0,0,-179890.210396890688
2021-11-14T19:00:00+00:00,1.00049843682127083411,1.00040874240495100007,0.99902831378806110931,7481.1799946970903730,0,0,-7484.2292770458578009,45308.855840339846,0,0,-45279.507168918580
2021-11-14T20:00:00+00:00,1.00070990944253477536,1.00040874240495100007,0.99902831378806110931,0,0,0,0,332369.605386986430,0,0,-332133.820451662645
2021-11-14T21:00:00+00:00,1.00070990944253477536,1.00066624622606761670,0.99902831378806110931,0,0,0,0,0,45420.882128000000,0,-45390.640784878284
2021-11-14T22:00:00+00:00,1.00086696477846590524,1.00070790488148275420,0.99902831378806110931,0,0,0,0,287287.1268399555353547,128563.465358000000,0,-415510.7938003010804835
2021-11-14T23:00:00+00:00,1.00086696477846590524,1.00085723661282266566,0.99902831378806110931,0,0,0,0,0,258720.829244000000,0,-258499.234236026256
2021-11-15T00:00:00+00:00,1.00111051703417058695,1.00114719031304093565,1.00088007738307046459,0,0,0,0,300949.475729744821,388725.706490000000,199217.340118000000,-887938.079671829019
2021-11-15T01:00:00+00:00,1.00133168843236688563,1.00012254896441043051,1.00088007738307046459,0,60921.588114000000,0,-60914.123151289840,80613.000000000000,0,0,-80505.791368895500
2021-11-15T02:00:00+00:00,1.00133168843236688563,1.00010255458333333333,1.00088007738307046459,0,60006.153275000000,0,-60000.000000000000,0,0,0,0
2021-11-15T03:00:00+00:00,1.00128246044537304579,1.00007444687774470131,1.00088007738307046459,0,104866.4564280000000000,0,-104858.6500289008240000,82283.936588843863,0,0,-82178.545854327413
2021-11-15T04:00:00+00:00,1.00130685503170757023,1.00007444687774470131,1.00088007738307046459,0,0,0,0,84245.3819727407116352,0,0,-84135.4291637931327318
2021-11-15T05:00:00+00:00,1.00134161097878915980,1.00007444687774470131,1.00088007738307046459,0,0,0,0,122715.143748492294,0,0,-122550.728345884847
2021-11-15T06:00:00+00:00,1.00078223329336675366,1.00007444687774470131,1.00088007738307046459,98646.536147839433,0,0,-98616.300137523236,79145.935228674112,0,0,-79037.204752781819
2021-11-15T07:00:00+00:00,1.00139934306814490351,1.00127788168434417031,1.00088007738307046459,0,0,0,0,81603.283533235814,88571.096574000000,0,-169947.309755469183
2021-11-15T08:00:00+00:00,1.00146759700378874871,1.00127788168434417031,1.00088007738307046459,0,0,0,0,82214.932471151469,0,0,-82094.450900981506
2021-11-15T09:00:00+00:00,1.00146759700378874871,1.00127788168434417031,1.00128641629895070751,0,0,0,0,0,0,88592.677668000000,-88478.857024211525
2021-11-15T10:00:00+00:00,1.00146759700378874871,1.00152836352734237756,1.00128641629895070751,0,0,0,0,0,684629.853831000000,0,-683585.087315711512
