liquidationPrice,cumulativeDepth
2819.08,83663.49374485031966292800
2818.01,83718.49374485031966292800
2816.69,83719.94554485031966292800
2815.28,83734.94554485031966292800
2813.87,83751.94554485031966292800
2809.44,83771.94554485031966292800
2805.69,83777.94554485031966292800
2798.65,83902.54997896941676592800
2792.65,83910.54997896941676592800
2792.35,83939.54997896941676592800
2789.54,83940.57997896941676592800
2788.71,83960.47997896941676592800
2786.67,83966.47997896941676592800
2786.00,83984.47997896941676592800
2778.30,83996.47997896941676592800
2777.12,83997.79359435865896882800
2776.58,85423.72359435865896882800
2773.03,85436.72359435865896882800
2771.10,85466.72359435865896882800
2765.96,85566.72359435865896882800
2762.69,85567.52359435865896882800
2754.57,86067.52359435865896882800
2753.14,86072.82359435865896882800
2750.02,86102.82359435865896882800
2748.42,86133.07359435865896882800
2744.74,86268.07359435865896882800
2742.22,89178.78342081693305372800
2740.79,89245.89605531795184102800
2736.02,89306.39605531795184102800
2734.53,89316.39605531795184102800
2734.28,89319.89605531795184102800
2733.95,89334.53475531795184102800
2731.15,89342.30391741184551922800
2724.70,89344.45391741184551922800
2723.08,89393.40708657329882202800
2715.74,89474.90708657329882202800
2711.26,89653.67538657329882202800
2709.13,89665.95538657329882202800
2699.81,89667.94036326195378172800
2698.63,89704.99295134932369102800
2697.57,91540.14565134932369102800
2697.34,91603.14565134932369102800
2697.04,91605.07465134932369102800
2691.44,91609.67465134932369102800
2685.90,91624.57465134932369102800
2684.17,91773.57465134932369102800
2678.96,91808.57465134932369102800
2674.90,92098.57465134932369102800
2672.84,92298.57465134932369102800
2669.65,92325.57465134932369102800
2667.08,92371.07465134932369102800
2664.21,92391.07465134932369102800
2663.29,92414.73465134932369102800
2650.03,92466.73465134932369102800
2641.10,92467.57154149783791686200
2638.63,92509.57154149783791686200
2637.98,92530.57154149783791686200
2636.34,92589.57154149783791686200
2635.42,92608.53154149783791686200
2634.20,92611.25901813498672736200
2629.50,92711.25901813498672736200
2629.25,92964.25901813498672736200
2628.03,93006.40901813498672736200
2626.79,93019.90901813498672736200
2624.85,93020.90901813498672736200
2623.50,93075.90901813498672736200
2618.22,93144.36741813498672736200
2617.45,93199.36741813498672736200
2617.43,93273.36741813498672736200
2613.51,93328.36741813498672736200
2610.42,93429.22348346898672736200
2608.74,93581.22348346898672736200
2604.78,93669.92348346898672736200
2598.07,93701.92348346898672736200
2597.67,93786.92348346898672736200
2596.63,93821.92348346898672736200
2596.54,93836.38878346898672736200
2595.32,93860.36629427536385586200
2595.05,93875.36629427536385586200
2593.10,93912.11629427536385586200
2591.95,93912.96889427536385586200
2590.63,93925.86889427536385586200
2588.81,93981.20209427536385586200
2587.27,93993.20209427536385586200
2585.88,94073.20209427536385586200
2578.18,94673.20209427536385586200
2575.74,94752.05076082393234786200
2570.43,94754.61076082393234786200
2570.27,94904.61076082393234786200
2568.53,94979.61076082393234786200
2566.71,95470.61076082393234786200
2563.05,95871.11076082393234786200
2561.36,95985.11076082393234786200
2560.27,96185.11076082393234786200
2560.23,96190.79702528614519326200
2558.01,96200.79702528614519326200
2556.32,96263.16134302525578156200
2551.62,96265.28384302525578156200
2550.41,96379.28384302525578156200
2547.43,96387.83384302525578156200
