hour,3crvBalance,lusdBalance,3crvPerLusd
2021-12-06T05:00:00+00:00,60231168.377702860342526184000000000000000000,40714605.859082905613191791000000000000000000,147.935039789329215155901334236773505734
2021-12-06T06:00:00+00:00,59082001.762445797355526184000000000000000000,41882120.718123025597191791000000000000000000,141.067359411148737986806755092562237460
2021-12-06T07:00:00+00:00,59053429.569036787077963984000000000000000000,41906062.836495413538191791000000000000000000,140.918582114108719808589688137237748362
2021-12-06T08:00:00+00:00,58964873.005986563430963984000000000000000000,41996061.422555250363191791000000000000000000,140.405721414431738690841410636162248548
2021-12-06T09:00:00+00:00,58236560.991571087221883284000000000000000000,42711842.135390751392022591000000000000000000,136.347575005004656361591466522994733833
2021-12-06T10:00:00+00:00,59216724.889432204403834725000000000000000000,41719108.282366349065022591000000000000000000,141.941492345994537222707317897024583262
2021-12-06T11:00:00+00:00,59350230.933713089662834725000000000000000000,41583713.707598000389022591000000000000000000,142.724700711059547208206880041022327335
2021-12-06T12:00:00+00:00,59405621.913310092513834725000000000000000000,41527747.803213564915022591000000000000000000,143.050430268489239081580287360591978103
2021-12-06T13:00:00+00:00,58650511.497415924183834725000000000000000000,42295331.976444587911022591000000000000000000,138.668994323250559272869838837567528684
2021-12-06T14:00:00+00:00,58561972.684835147123834725000000000000000000,42385329.718419205621022591000000000000000000,138.165665039963412582515641509493034712
2021-12-06T16:00:00+00:00,58658048.838452523953834725000000000000000000,42287748.593744981663022591000000000000000000,138.711685509615816525147498311193551994
2021-12-06T17:00:00+00:00,59164733.869114513538834725000000000000000000,41773199.677137901987022591000000000000000000,141.633234529302390106051656529400666565
2021-12-06T19:00:00+00:00,59858626.968602543630834725000000000000000000,41068842.850228734189022591000000000000000000,145.751919982009327926995684032569961203
2021-12-06T20:00:00+00:00,58753489.156446253838834725000000000000000000,42191819.924103369276022591000000000000000000,139.253270567931874882001058349054514612
2021-12-06T21:00:00+00:00,59064545.630448455083834725000000000000000000,41875934.947140935885022591000000000000000000,141.046512048039814082354044414725427776
2021-12-07T00:00:00+00:00,59054124.537999462997834725000000000000000000,41875934.947140935885022591000000000000000000,141.021626412740813833361113291741994196
2021-12-07T01:00:00+00:00,58756566.869297981105834725000000000000000000,42178458.021658280462022591000000000000000000,139.304682117888193911720215495492924178
2021-12-07T04:00:00+00:00,58529241.586197472200834725000000000000000000,42409525.950143830022022591000000000000000000,138.009657676918628419152868380639943206
