owner,contract,collateral,debt,collateralRatio,lastModified
0x7bbe16a9dc0c011b36ddaa99e148883afd121773,no,2.0000000000000000,2019.0555872571491802,3.8264622572850584,2021-07-10T04:20:15+00:00
0xbd2152bb6a5dd20012e3ef47071e6fc197a60352,yes,2.0000000000000000,2009.0058674586259610,3.8456035022800195,2021-09-22T07:10:36+00:00
0xcec1c6c1ceffc326a85f469c9409e2b989b4b8c9,no,2.0000000000000000,2000.0000000000000000,3.8629200000000004,2021-04-05T17:15:37+00:00
0x9f60699ce23f1ab86ec3e095b477ff79d4f409ad,no,2.0000000000000000,2009.0043641636524370,3.8456063798628253,2021-07-14T14:35:10+00:00
0xcfb6789e27577cb07dfc7e51907ce8bd16923bb7,no,2.0000000000000000,2210.9993583734982267,3.494275098154459,2021-04-22T23:16:31+00:00
0xbccfde91d7b1eb5151b5813db9f595f603c50200,no,2.0000000000000000,2210.0298953978712580,3.4958079146748915,2021-06-05T11:27:07+00:00
0xf18ff7257b8b5fc3551bbba33118033b68cfffe6,yes,2.0000000000000000,2411.0207152843214592,3.2043855745507046,2021-06-29T23:24:43+00:00
0xf3af099597c17e8f72f4da366c4c4cb5013cce1a,yes,2.0000000000000000,5245.2386637799755250,1.4729243977684674,2021-11-04T21:42:32+00:00
0x959fdba32f2a3aa6099e5ff9290977d89c20270f,no,2.0000000000000000,2100.0000000000000000,3.678971428571429,2021-04-07T17:18:41+00:00
0x280db0f897b08e2c8d72ca09936a344f9f0fff49,no,2.0000000000000000,2000.0000000000000000,3.8629200000000004,2021-04-13T20:49:00+00:00
0x6a7900a71a1c44f63db7845df1fee5ea31c45dc9,yes,1.9849766886549597,4871.8733802657644733,1.5738927413833428,2021-11-03T02:06:23+00:00
0x42b9df65b219b3dd36ff330a4dd8f327a6ada990,no,1.9491215411426679,2300.5000000000000000,3.2728974499938426,2021-04-05T13:32:54+00:00
0xa5e2d705bf7971dec8d7e5f993330d5eda6ec78a,no,1.9290000000000000,4729.6275135652919585,1.5755094156205227,2021-10-25T08:00:48+00:00
0x4359224bccf1b5500b85c674889fd005535f6947,no,1.9111468009953401,3717.5227852679199705,1.9858942707109348,2021-08-26T11:35:29+00:00
0x251182a31880b850f0725c1a48ba0269cb9226fd,no,1.9001000000000000,3215.2611240156856070,2.2828423598867214,2021-12-10T03:41:25+00:00
0x863ebf391f71bb15a894a0bae8fe7b1860a2ffc3,no,1.9000000000000000,2000.0000000000000000,3.6697740000000003,2021-04-06T01:37:17+00:00
0x8cbe9b8125e849579cd252f83087602b80adb219,no,1.9000000000000000,2000.0000000000000000,3.6697740000000003,2021-04-06T12:09:54+00:00
0xcabc0e1eebd9fc9ec64d47a06cb2d43792e1977b,no,1.9000000000000000,2109.5122410612440578,3.4792630529167505,2021-08-15T13:20:12+00:00
0x70a1e02e1e0447c5be9afe92fd5d513996b52068,no,1.9000000000000000,5208.9675337145022185,1.4090216444037205,2021-11-17T08:31:14+00:00
0x19264fb71be0703710a83be562f72ac76ca38116,no,1.8861730794081395,2717.5346931502002365,2.6811564651861395,2021-09-07T21:41:24+00:00
0x5ed57d6c41f77c53376d593e090a47137707673f,no,1.8200000000000000,2000.0000000000000000,3.5152572,2021-06-22T00:37:54+00:00
0x06968ce4d68f355035e52089f5c4eaf9a4757e5d,no,1.8130762873126784,2210.0180690808164580,3.1691001760446587,2021-06-18T20:29:26+00:00
0x8aad8c0a8d08282e99c4174a141318a3f5cc0ea4,no,1.8000000000000000,2109.7451004497797895,3.29578013880332,2021-05-07T05:18:08+00:00
0x77fff94a68319b37e7bda9fa06c2c28850ebddc2,no,1.7885000000000000,2431.1518218807398304,2.841793901071684,2021-08-09T05:06:00+00:00
0xae86201c431166837f720c3a11c956312ee98412,no,1.7400000000000000,2001.0049959277249073,3.3590524829668023,2021-07-13T21:09:13+00:00
0x97bb222fc501a01ffdbc52c8c1652981408a6a68,no,1.7020000000000000,2000.0000000000000000,3.28734492,2021-04-06T05:39:13+00:00
0x3fde28e43c4119409c9884b6cdb8a27c1f0a0ba0,no,1.6169137482287366,3722.4710767356643050,1.67791994284212,2021-08-21T05:18:47+00:00
0x6fcfd906d6f086d71c3f9d785db69cd3e6bae7c5,no,1.6053469847342172,2210.0018978687138860,2.806027895383235,2021-06-10T23:33:20+00:00
0x36f55beb7485756562049e36d95cf0b2cf1d873f,yes,1.6000000000000000,3215.0025882134327660,1.922446974897952,2021-11-25T14:06:58+00:00
0x9ccf93089cb14f94baeb8822f8ceffd91bd71649,yes,1.5353666466865228,2009.0054099832296942,2.952206349144581,2021-06-18T08:38:11+00:00
0xc6724e0a352570776bfe5fbd079f6acc1765d759,no,1.5000000000000000,2210.0004587578210760,2.6218908584556844,2021-08-23T06:54:24+00:00
0x11e32bb1cf76cd88b26bd75f7075ac3ac1f4e064,no,1.5000000000000000,2210.0004130577412319,2.6218909126731504,2021-08-02T00:32:11+00:00
0x8b748c3a5650bbdb406468fe418cdbcb6d38db53,no,1.5000000000000000,2712.5246923371681025,2.136157512729383,2021-08-26T04:17:29+00:00
0x3b04f7933c231906738a82a5e7da44e8c58ddd44,no,1.5000000000000000,2210.0090737832429260,2.621880637838644,2021-09-29T10:44:36+00:00
0xb5dc11d34c697aa272089927344e4d05561382f7,no,1.5000000000000000,3014.0271068232289484,1.9224710975168535,2021-08-15T06:07:46+00:00
0x24316e62f86115c153d0e4b97c4d039222c05b9d,yes,1.5000000000000000,2210.0037508437168680,2.6218869528107676,2021-10-04T10:25:04+00:00
0x18ae0d58f978054e55181be633d4a6e1239aa456,no,1.5000000000000000,2210.2275723230253500,2.621621444125732,2021-10-10T15:17:30+00:00
0x47cb164a0fa8f170cb9bc276b661ae2d5a6bf71f,no,1.4518000000000000,3717.5234488774003715,1.5085815417502029,2021-10-24T11:13:50+00:00
0x3f4e87b58c1f0f1536642350c2f2490002b8b546,no,1.4107253490299672,2000.0000000000000000,2.7247595826374202,2021-07-18T06:33:45+00:00
0x23b306dea86953bb5bf4e36326d1cdc01d74644e,no,1.4000000000000000,2009.0274305045057282,2.6918935589853668,2021-08-28T20:24:03+00:00
0xeb5c6cb7819cd1115bdaa86aaad5430d71781239,no,1.3978000000000000,2210.0614332262993120,2.44318528653638,2021-09-07T21:54:54+00:00
0x8be5674caa5db1857b8df20b80ed9a50c06762ad,no,1.3633311741006834,2000.0000000000000000,2.6332196295285057,2021-06-18T11:47:46+00:00
0xc199c8a750ac39747bdcff9456e0170f5cda22e4,no,1.3600000000000000,2210.0001350860082440,2.377181393156586,2021-07-31T20:33:38+00:00
0x61408e2ec79168de2908eb3f87fba1e08a4c8072,yes,1.3323022371062539,2310.5649206933128146,2.2274106698625884,2021-08-18T18:36:47+00:00
0xed91dc91ec46e6df98a75eca604eb51fa549d2e7,yes,1.3300000000000000,2817.1658404568406505,1.823706480541045,2021-12-10T11:22:20+00:00
0xb56844e9e7882bfcf1892d4ae78b2dd9126fc6ae,yes,1.3136153892422029,3316.4286900944047234,1.5300769694122518,2021-12-17T09:44:23+00:00
0x6429dcadbe691d60b1ac4a417711f8d90395e0d1,no,1.3022892063042948,2998.3773002928368189,1.677787188532167,2021-10-17T20:08:00+00:00
0x9fd59c51f93895733ce3efea52b99c87803bf93a,yes,1.3000000000000000,2194.9379583197350660,2.2878988360310086,2021-08-11T19:56:05+00:00
0x3b97b3fac818d7b6661214ee69b89958ad391118,yes,1.2974373265773503,2712.5086200711157100,1.8476979429657177,2021-09-19T15:43:07+00:00
0xe76346936fb25a05348297c9c66805cc2bef7db6,yes,1.2000000000000000,2214.6620519744639660,2.0930976786581295,2021-11-05T23:31:55+00:00
0x8317b277a6e895f100516b530c8677e5f2059996,yes,1.2000000000000000,2161.8301555057394289,2.1442498561666925,2021-10-04T19:54:34+00:00
0xfaa41b40eb851d770aa3f6857d1ee4dc0286289f,no,1.1681179618894366,2210.0007112189209260,2.0417849706723254,2021-09-01T00:41:37+00:00
0x13e1699a681d48d9b98e0adf64052134559f105c,no,1.1000000000000000,2000.0000000000000000,2.124606,2021-10-27T09:57:42+00:00
0xd384cc029b537503895fe252f94fba87a05d677e,no,1.0300000000000000,2612.0262893506861688,1.523264760474167,2021-10-18T09:35:43+00:00
0x98ec5a9996571219925cd82edbea064d81fed182,no,1.0100000000000000,2210.4419622356926180,1.7650538972097154,2021-10-10T01:02:18+00:00
0x0415094f5352896f1cfeaf74bfe0dfa247336bd9,no,1.00002000000000000000,2768.0359704477503525,1.3955733594658208,2021-10-31T16:14:15+00:00
0x48ddf6d748aed851a19aa33916b3d05f179a18d5,no,1.00000000000000000000,2009.0027815082687846,1.922804704680346,2021-09-03T20:22:06+00:00
0xd5b45b38a93291db4a49e074b296751d92e94397,no,1.00000000000000000000,2210.1288574920666160,1.7478256921107445,2021-11-12T16:45:04+00:00
0x34afe32558cf25daa29c39c6970f462ed97ede33,no,1.00000000000000000000,2154.6286040863245660,1.792847265033911,2021-08-25T00:11:52+00:00
0xb8c7451647f81a15d1e9f0c7c37337dd5781c4fc,no,1.00000000000000000000,2210.1344064979733360,1.7478213038278143,2021-10-11T00:30:46+00:00
0xcebdb3bcee6b1e52136418e2c6ba82a201be3664,yes,1.00000000000000000000,3031.3881619389504001,1.27430727892306,2021-11-19T18:56:05+00:00
0xa4a8b0c9d743fdd4c7364219dd0e3396002e89d3,no,1.00000000000000000000,2009.0193035103291026,1.9227888916997355,2021-09-21T10:17:37+00:00
0x801ba8998f2ea2ba037984b9827c30acf007f832,no,1.00000000000000000000,2009.0790589170258902,1.9227317027943485,2021-11-10T05:22:01+00:00
0x7afb8af080a38daf904a4498bcd6c5f93fa834d6,no,1.00000000000000000000,2200.0000000000000000,1.7558727272727275,2021-11-14T21:00:03+00:00
0x169dd9a77c76587ef50d397c6273b8936b1d7473,no,1.00000000000000000000,2009.3224841259088790,1.922498767877193,2021-08-08T22:48:12+00:00
0xbd47bb391e4088a5b4d2f945416930e252ae9413,no,1.00000000000000000000,2200.0000000000000000,1.7558727272727275,2021-11-23T14:13:30+00:00
