day,revenues,cumulative_revenues
2021-07-23T00:00:00+00:00,57031.6693720062,3251056.4545558486
2021-07-24T00:00:00+00:00,41824.8150286644,3292881.269584513
2021-07-25T00:00:00+00:00,40951.163290403834,3333832.4328749166
2021-07-26T00:00:00+00:00,162342.95451411573,3496175.387389032
2021-07-27T00:00:00+00:00,86396.74296638655,3582572.1303554187
2021-07-28T00:00:00+00:00,73187.14953673031,3655759.279892149
2021-07-29T00:00:00+00:00,53420.86168016101,3709180.14157231
2021-07-30T00:00:00+00:00,78504.9728311832,3787685.1144034932
2021-07-31T00:00:00+00:00,48031.93835872523,3835717.0527622183
2021-08-01T00:00:00+00:00,90022.63665626943,3925739.6894184877
2021-08-02T00:00:00+00:00,62211.19984970259,3987950.88926819
2021-08-03T00:00:00+00:00,84898.41324313401,4072849.302511324
2021-08-04T00:00:00+00:00,87845.38385356145,4160694.6863648854
2021-08-05T00:00:00+00:00,133556.49578134407,4294251.18214623
2021-08-06T00:00:00+00:00,75624.63835361175,4369875.820499841
2021-08-07T00:00:00+00:00,92966.99576065036,4462842.8162604915
2021-08-08T00:00:00+00:00,69137.57862313863,4531980.39488363
2021-08-09T00:00:00+00:00,90048.9886451281,4622029.383528758
2021-08-10T00:00:00+00:00,67252.7517220596,4689282.135250817
2021-08-11T00:00:00+00:00,55308.99933641144,4744591.134587228
2021-08-12T00:00:00+00:00,71300.09781254611,4815891.232399775
2021-08-13T00:00:00+00:00,73936.04591406765,4889827.278313843
2021-08-14T00:00:00+00:00,37669.612136639116,4927496.890450481
2021-08-15T00:00:00+00:00,63539.94589976953,4991036.836350251
2021-08-16T00:00:00+00:00,72566.88906144253,5063603.725411694
2021-08-17T00:00:00+00:00,101782.75585811291,5165386.481269807
2021-08-18T00:00:00+00:00,90728.74702723898,5256115.228297045
2021-08-19T00:00:00+00:00,65592.65015958576,5321707.878456632
2021-08-20T00:00:00+00:00,49029.42356130778,5370737.302017939
2021-08-21T00:00:00+00:00,65331.72705979977,5436069.029077739
2021-08-22T00:00:00+00:00,39317.6440996794,5475386.673177419
2021-08-23T00:00:00+00:00,51798.57453327677,5527185.247710696
2021-08-24T00:00:00+00:00,71361.47648348907,5598546.724194186
2021-08-25T00:00:00+00:00,54536.1160884175,5653082.840282603
2021-08-26T00:00:00+00:00,44573.42838201,5697656.268664613
2021-08-27T00:00:00+00:00,54638.98228952918,5752295.250954143
2021-08-28T00:00:00+00:00,32264.29840913618,5784559.549363279
2021-08-29T00:00:00+00:00,40628.71907651271,5825188.268439791
2021-08-30T00:00:00+00:00,95048.7445439857,5920237.012983777
2021-08-31T00:00:00+00:00,81246.68933734942,6001483.702321126
2021-09-01T00:00:00+00:00,80375.81302866075,6081859.515349787
2021-09-02T00:00:00+00:00,63266.203047205854,6145125.718396992
2021-09-03T00:00:00+00:00,80535.41429303965,6225661.132690032
2021-09-04T00:00:00+00:00,46088.555491769665,6271749.688181802
2021-09-05T00:00:00+00:00,39056.75537766884,6310806.443559471
2021-09-06T00:00:00+00:00,53881.73110380964,6364688.17466328
2021-09-07T00:00:00+00:00,230303.03653966065,6594991.211202941
2021-09-08T00:00:00+00:00,165130.3934247692,6760121.60462771
2021-09-09T00:00:00+00:00,128313.92479419177,6888435.529421901
2021-09-10T00:00:00+00:00,124459.57562866459,7012895.105050566
2021-09-11T00:00:00+00:00,76419.15285125563,7089314.257901821
2021-09-12T00:00:00+00:00,80689.59138241109,7170003.849284233
2021-09-13T00:00:00+00:00,100480.71579919173,7270484.565083425
2021-09-14T00:00:00+00:00,76504.23717968198,7346988.802263106
2021-09-15T00:00:00+00:00,78582.569326295,7425571.371589401
2021-09-16T00:00:00+00:00,106168.50816759285,7531739.879756994
2021-09-17T00:00:00+00:00,125361.89557742128,7657101.775334415
2021-09-18T00:00:00+00:00,75163.11445657995,7732264.889790995
2021-09-19T00:00:00+00:00,67980.05284382089,7800244.942634816
2021-09-20T00:00:00+00:00,134939.85838691794,7935184.801021734
2021-09-21T00:00:00+00:00,155849.19096826648,8091033.991990001
2021-09-22T00:00:00+00:00,95886.35128108502,8186920.343271086
2021-09-23T00:00:00+00:00,53465.500724151374,8240385.843995238
2021-09-24T00:00:00+00:00,128900.696839312,8369286.54083455
2021-09-25T00:00:00+00:00,76201.67307719478,8445488.213911744
2021-09-26T00:00:00+00:00,111038.94072647687,8556527.154638221
2021-09-27T00:00:00+00:00,60463.79959459673,8616990.954232818
2021-09-28T00:00:00+00:00,60553.44196229689,8677544.396195114
2021-09-29T00:00:00+00:00,47775.25987125541,8725319.65606637
2021-09-30T00:00:00+00:00,69622.53770962528,8794942.193775995
2021-10-01T00:00:00+00:00,84087.49593535373,8879029.68971135
2021-10-02T00:00:00+00:00,66218.29957554842,8945247.989286898
2021-10-03T00:00:00+00:00,42041.97890187883,8987289.968188776
2021-10-04T00:00:00+00:00,51137.71236983962,9038427.680558614
2021-10-05T00:00:00+00:00,36888.214050702816,9075315.894609317
2021-10-06T00:00:00+00:00,73877.03901543972,9149192.933624757
2021-10-07T00:00:00+00:00,54186.18315635636,9203379.116781114
2021-10-08T00:00:00+00:00,42496.20225131868,9245875.319032433
2021-10-09T00:00:00+00:00,31380.57334005262,9277255.892372485
2021-10-10T00:00:00+00:00,53673.17057959014,9330929.062952075
2021-10-11T00:00:00+00:00,53188.52834494182,9384117.591297017
2021-10-12T00:00:00+00:00,71941.34092581591,9456058.932222834
2021-10-13T00:00:00+00:00,48567.79689072169,9504626.729113556
2021-10-14T00:00:00+00:00,57123.74690268784,9561750.476016244
2021-10-15T00:00:00+00:00,80248.18355046825,9641998.659566712
2021-10-16T00:00:00+00:00,44541.98770053201,9686540.647267243
2021-10-17T00:00:00+00:00,47789.250189317936,9734329.89745656
2021-10-18T00:00:00+00:00,53655.20352400989,9787985.10098057
2021-10-19T00:00:00+00:00,52533.977393694644,9840519.078374265
2021-10-20T00:00:00+00:00,54816.42058396014,9895335.498958224
2021-10-21T00:00:00+00:00,91424.09752543774,9986759.596483663
2021-10-22T00:00:00+00:00,44447.791856012744,10031207.388339676
2021-10-23T00:00:00+00:00,37559.25984633923,10068766.648186015
2021-10-24T00:00:00+00:00,39760.53829120129,10108527.186477216
2021-10-25T00:00:00+00:00,45316.55311843417,10153843.73959565
2021-10-26T00:00:00+00:00,59566.680789618724,10213410.420385268
2021-10-27T00:00:00+00:00,77623.82002187012,10291034.240407137
2021-10-28T00:00:00+00:00,109552.1263414287,10400586.366748566
2021-10-29T00:00:00+00:00,105580.8477128564,10506167.214461422
2021-10-30T00:00:00+00:00,31978.11929551823,10538145.33375694
2021-10-31T00:00:00+00:00,37590.04877433797,10575735.382531278
2021-11-01T00:00:00+00:00,44737.24172672175,10620472.624258
2021-11-02T00:00:00+00:00,60005.695436552014,10680478.319694553
2021-11-03T00:00:00+00:00,104121.71018470806,10784600.02987926
2021-11-04T00:00:00+00:00,73576.08106269797,10858176.11094196
2021-11-05T00:00:00+00:00,62155.62820741449,10920331.739149375
2021-11-06T00:00:00+00:00,28638.734369704664,10948970.47351908
2021-11-07T00:00:00+00:00,32108.90783041739,10981079.381349497
2021-11-08T00:00:00+00:00,61013.39050453887,11042092.771854036
2021-11-09T00:00:00+00:00,36174.78999379806,11078267.561847834
2021-11-10T00:00:00+00:00,86680.29604405208,11164947.857891886
2021-11-11T00:00:00+00:00,42102.01211059119,11207049.870002476
2021-11-12T00:00:00+00:00,45736.545102223165,11252786.4151047
2021-11-13T00:00:00+00:00,33963.1087368827,11286749.523841582
2021-11-14T00:00:00+00:00,23846.665448996195,11310596.189290578
2021-11-15T00:00:00+00:00,49211.91717359271,11359808.10646417
2021-11-16T00:00:00+00:00,80705.05238928915,11440513.158853458
2021-11-17T00:00:00+00:00,53952.01678309554,11494465.175636554
2021-11-18T00:00:00+00:00,65236.2537453713,11559701.429381926
2021-11-19T00:00:00+00:00,41257.897551925256,11600959.326933851
2021-11-20T00:00:00+00:00,35610.2406633144,11636569.567597166
2021-11-21T00:00:00+00:00,32576.21752257866,11669145.785119744
2021-11-22T00:00:00+00:00,43950.29426383622,11713096.07938358
2021-11-23T00:00:00+00:00,66452.23040600173,11779548.309789581
2021-11-24T00:00:00+00:00,35436.19862609629,11814984.508415677
2021-11-25T00:00:00+00:00,40301.53626896332,11855286.04468464
2021-11-26T00:00:00+00:00,67546.09546627577,11922832.140150916
2021-11-27T00:00:00+00:00,26934.011223868576,11949766.151374785
2021-11-28T00:00:00+00:00,35964.98071931364,11985731.132094098
2021-11-29T00:00:00+00:00,31328.83801988745,12017059.970113985
2021-11-30T00:00:00+00:00,39132.29259052629,12056192.262704512
2021-12-01T00:00:00+00:00,43448.443779520545,12099640.706484033
2021-12-02T00:00:00+00:00,43677.18824744792,12143317.89473148
2021-12-03T00:00:00+00:00,49107.05969802591,12192424.954429507
