address,name,stakedLQTY,heldLQTY,totalLQTY
0xa9fabaf4a8d01177458e68b8419d138b50ff8ca7,,173087.479999999980,0.002404952308320529000000000000000000,173087.482404952288320529000000000000000000
0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,,170720.860000000000,124.537965725370401500000000000000000000,170845.397965725370401500000000000000000000
0x9987f4ab821927556be111eff044bdb0a8f51027,,158018.577562395166,0.000000000000185868000000000000000000,158018.577562395166185868000000000000000000
0x2a0a9ac6d8fbcea4c470a21862ece3aaef7f0c8e,Lockup Contract,,156250.000000000000,156250.000000000000
0x4a2c55ccd180caa7519b7d4d3ed595ec56fa81b4,Lockup Contract,,156250.000000000000,156250.000000000000
0x549c0421c69be943a2a60e76b19b4a801682cbd3,,154422.415000000000,-0.000000000000383860000000000000000000,154422.414999999999616140000000000000000000
0xa649bc7d436aad93865d5415aa4ba6bca9a05c0a,Lockup Contract,,142860.000000000000,142860.000000000000
0x39ae8159561a0a33168d6df073be3008b8a5ad73,Lockup Contract,,142860.000000000000,142860.000000000000
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,,,136745.431361554504866973000000000000000000,136745.431361554504866973000000000000000000
0x86b0be38a41ee669fb2d8cb5854a3c89a0a2b8fe,,107278.079999999990,18247.305758485162701400000000000000000000,125525.385758485152701400000000000000000000
0xcde82316161446a5006d62f57a1fb372ad148a45,Lockup Contract,,114290.000000000000,114290.000000000000
0x0dd6a8de365b2800f828e95feef637027cebfdc6,,109035.678122304993,244.167618874420341900000000000000000000,109279.845741179413341900000000000000000000
0xd32ed2f7e5bef05b3ffd338c6926a2a732d1ef81,,106871.850000000000,0.0036222139922362,106871.8536222139922362
0x12d3d411d010891a88bff2401bd73fa41fb1316e,,106803.056215610267,0.0000000000006955,106803.0562156102676955
0x9c22d83fb0315263566740d018f08e8c075fc927,,100482.950000000000,0.0011584778199493,100482.9511584778199493
0x0e5a65c3660020f75c29c4665c5392bf6cb889f1,,98941.510000000000,0.0053303973392904,98941.5153303973392904
0x0051099cac8f0c27467425be5eedd96078e6f748,,,95240.000000000000,95240.000000000000
0x1a7f992be53b6fcee34b2e52e6a64fc64545641d,,94502.288278590130,0.000000000000282400000000000000000000,94502.288278590130282400000000000000000000
0xf13a45ff5763cb77fe3dcaaaa25652d15f95aef2,,89025.743900114489,-0.00000000000124149200,89025.74390011448775850800
0x7af23cc86f3d96f079d5a56d0a89ebcb281060d5,,83955.962168162146,-0.000000000000486768000000000000000000,83955.962168162145513232000000000000000000
0xaec4381b75683d4f70971b750cbbd66436f28afd,,83784.750374399580,0.000000000000032369000000000000000000,83784.750374399580032369000000000000000000
0xbbbc35dfac3a00a03a8fde3540eca4f0e15c5e64,,82683.880000000000,6.610729203315949700000000000000000000,82690.490729203315949700000000000000000000
0xa26a82491e6dc2f7e3b21c5ebeeb420aba87e370,,75757.580000000000,0.000000000002,75757.580000000002
0x86dd862d995147374c8bc8d8ffeda43c50dc2e57,Lockup Contract,,71430.000000000000,71430.000000000000
0x84f48f7e16c4fa7afc6c2761d22803f6601b02fb,Lockup Contract,,71430.000000000000,71430.000000000000
0x9854ccf5d12f77d9f7aa5664777f859358c76606,,70131.545334626632,0.000000000000000000000000000000000000,70131.545334626632000000000000000000000000
0xddfe74f671f6546f49a6d20909999cfe5f09ad78,,66922.564781789171,-0.000000000000000376000000000000000000,66922.564781789170999624000000000000000000
0x5b67972e65197feec010080b79a0d6e054839de3,,60606.059999999998,0.00000000000000000000,60606.05999999999800000000
