endDate,TVL (ETH),TVL (USD)
2021-05-19T23:58:00+00:00,903688.991692070906396571000000000000000000,2229997177.2388554
2021-05-20T00:55:00+00:00,902601.210846496295172671000000000000000000,2003476829.6796424
2021-05-20T01:58:00+00:00,878469.332506878350138301000000000000000000,2063867065.0983348
2021-05-20T02:58:00+00:00,876787.410150169671505163000000000000000000,2176274030.733736
2021-05-20T03:53:00+00:00,876149.044090358751601562000000000000000000,2155624539.1372733
2021-05-20T04:56:00+00:00,876456.009302827302908632000000000000000000,2247338382.5735655
2021-05-20T05:52:00+00:00,860488.378963742559732301000000000000000000,2284631065.683895
2021-05-20T06:59:00+00:00,860802.832338922156131501000000000000000000,2300340624.915949
2021-05-20T07:54:00+00:00,860818.634538922156131501000000000000000000,2343045024.9788013
2021-05-20T08:54:00+00:00,860862.134538922156131501000000000000000000,2312818036.5163045
2021-05-20T09:55:00+00:00,861671.992952795325995601000000000000000000,2314287255.392547
2021-05-20T10:48:00+00:00,861476.529471570285075501000000000000000000,2340338828.554236
2021-05-20T11:57:00+00:00,861427.350625629125922904000000000000000000,2375317005.1621222
2021-05-20T12:55:00+00:00,859353.123626629784250035000000000000000000,2498663735.7880254
2021-05-20T13:59:00+00:00,859564.400298908244584235000000000000000000,2511672964.605419
2021-05-20T14:49:00+00:00,861572.420798908244584235000000000000000000,2537709871.117936
2021-05-20T15:35:00+00:00,861900.130798908244584235000000000000000000,2513585208.4527802
2021-05-20T16:58:00+00:00,862155.634549424244584235000000000000000000,2336002070.2553196
2021-05-20T17:58:00+00:00,861987.258798244748414812000000000000000000,2384187798.8552413
2021-05-20T18:58:00+00:00,861895.558068245437874712000000000000000000,2406662347.838381
2021-05-20T19:59:00+00:00,861927.238398245437874712000000000000000000,2419343565.4600353
2021-05-20T20:56:00+00:00,861774.957479786895634712000000000000000000,2383635061.3907914
2021-05-20T21:53:00+00:00,861826.861759209996740112000000000000000000,2444037560.7257085
2021-05-20T22:54:00+00:00,861706.911353004724140793000000000000000000,2419354175.522037
2021-05-20T23:59:00+00:00,862081.248353004724140793000000000000000000,2394404804.86302
2021-05-21T00:57:00+00:00,861088.012728848035149595000000000000000000,2506954418.4985137
2021-05-21T01:46:00+00:00,861036.068128848035149595000000000000000000,2506441552.8803515
2021-05-21T02:28:00+00:00,861071.568128848035149595000000000000000000,2460322570.183195
2021-05-21T03:33:00+00:00,861143.635220030646763767000000000000000000,2416722109.3178463
