hour,totalLusdPaid,totalLusdClaimed,totalEthPaid,totalEthClaimed
2021-11-25T19:00:00+00:00,20617196.315058915640823622000000000000000000,18723817.741835963912386180000000000000000000,969.068314878916588555000000,833.520909306119131502000000000000000000
2021-11-25T20:00:00+00:00,20617621.697973474231543622000000000000000000,18732254.334917303306966580000000000000000000,969.068314878916588555000000,834.503406132690212540000000000000000000
2021-11-25T21:00:00+00:00,20617988.138592605238411522000000000000000000,18733695.034253660516639780000000000000000000,969.068314878916588555000000,834.650965484903441796000000000000000000
2021-11-25T22:00:00+00:00,20618138.254991182770442922000000000000000000,18733699.364801144299309780000000000000000000,969.068314878916588555000000,834.650967025278029169000000000000000000
2021-11-25T23:00:00+00:00,20718325.096420964724156922000000000000000000,18736123.782287607251929080000000000000000000,969.068314878916588555000000,834.651349862404115707000000000000000000
2021-11-26T00:00:00+00:00,20718585.283762547236195722000000000000000000,18736218.632453184693155380000000000000000000,969.068314878916588555000000,834.658406276065715992000000000000000000
2021-11-26T01:00:00+00:00,20718585.283762547236195722000000000000000000,18736241.316444532981070380000000000000000000,969.068314878916588555000000,834.660346006576354993000000000000000000
2021-11-26T03:00:00+00:00,20719410.777192841430880922000000000000000000,18736283.575224188653448080000000000000000000,969.068314878916588555000000,834.660346006576354993000000000000000000
2021-11-26T04:00:00+00:00,20720411.345709632220106322000000000000000000,18736283.575224188653448080000000000000000000,969.068314878916588555000000,834.660346006576354993000000000000000000
2021-11-26T05:00:00+00:00,20720486.387975933036821322000000000000000000,18738899.972634842682579780000000000000000000,969.068314878916588555000000,834.661236349763779291000000000000000000
2021-11-26T07:00:00+00:00,20720556.420057826990195822000000000000000000,18739891.560252104611304580000000000000000000,969.068314878916588555000000,834.670471783609417011000000000000000000
2021-11-26T08:00:00+00:00,20720556.420057826990195822000000000000000000,18739891.560252104611304580000000000000000000,969.068314878916588555000000,834.670471783609417011000000000000000000
2021-11-26T09:00:00+00:00,20725058.395458049625675822000000000000000000,18739930.982113819476843780000000000000000000,969.068314878916588555000000,834.670473308509313525000000000000000000
2021-11-26T10:00:00+00:00,20725358.519698529967935822000000000000000000,18739930.982113819476843780000000000000000000,969.068314878916588555000000,834.670473308509313525000000000000000000
