hour,lusdIn,lusdOut,virtualLiquidity
2021-12-07T09:00:00+00:00,29999.254477827095,0,68769.947686595244
2021-12-07T10:00:00+00:00,,,68769.947686595244
2021-12-07T11:00:00+00:00,1500.0000000000000000,0,68769.947686595244
2021-12-07T12:00:00+00:00,0,-2364.6405959979683627,68769.947686595244
2021-12-07T13:00:00+00:00,0,-2183.2024420651745916,68769.947686595244
2021-12-07T14:00:00+00:00,,,68769.947686595244
2021-12-07T15:00:00+00:00,0,-100916.609639797182,68769.947686595244
2021-12-07T16:00:00+00:00,2997.8521046191807544,0,68769.947686595244
2021-12-07T17:00:00+00:00,,,68769.947686595244
2021-12-07T18:00:00+00:00,,,68769.947686595244
2021-12-07T19:00:00+00:00,1941.5513799468036999,0,136607.279498244338
2021-12-07T20:00:00+00:00,228346.176961590747,-6157.5067225868378211,136607.279498244338
2021-12-07T21:00:00+00:00,10904.766303631526,0,136607.279498244338
2021-12-07T22:00:00+00:00,0,-157601.2111853509405279,136607.279498244338
2021-12-07T23:00:00+00:00,2973.7500000000000000,-220.0000000000000000,136607.279498244338
2021-12-08T00:00:00+00:00,,,136607.279498244338
2021-12-08T01:00:00+00:00,0,-42877.314236782279,136607.279498244338
2021-12-08T02:00:00+00:00,0,-79578.483706470300,136607.279498244338
2021-12-08T03:00:00+00:00,,,136607.279498244338
2021-12-08T04:00:00+00:00,,,136607.279498244338
2021-12-08T05:00:00+00:00,,,136607.279498244338
2021-12-08T06:00:00+00:00,195.1606897747254465,0,136607.279498244338
2021-12-08T07:00:00+00:00,126560.338592260492,0,136607.279498244338
2021-12-08T08:00:00+00:00,,,136607.279498244338
2021-12-08T09:00:00+00:00,0,-14017.0717523624426830,136607.279498244338
2021-12-08T10:00:00+00:00,80318.808195204742,-80054.872277509220,136607.279498244338
2021-12-08T11:00:00+00:00,35800.202881657203,-107415.6706576489004206,136607.279498244338
2021-12-08T12:00:00+00:00,146187.528618144602,-5719.1805556242355116,136607.279498244338
2021-12-08T13:00:00+00:00,0,-28500.919629954821,136607.279498244338
2021-12-08T14:00:00+00:00,,,136607.279498244338
2021-12-08T15:00:00+00:00,,,136607.279498244338
2021-12-08T16:00:00+00:00,121532.057613740293,0,136607.279498244338
2021-12-08T17:00:00+00:00,4414.1770886184987876,0,136607.279498244338
2021-12-08T18:00:00+00:00,,,136607.279498244338
2021-12-08T19:00:00+00:00,,,136607.279498244338
2021-12-08T20:00:00+00:00,0,-319054.562787317159,136607.279498244338
2021-12-08T21:00:00+00:00,,,136607.279498244338
2021-12-08T22:00:00+00:00,74189.823739657279,0,136607.279498244338
2021-12-08T23:00:00+00:00,0,-3315.3005063368931916,136607.279498244338
2021-12-09T00:00:00+00:00,,,136607.279498244338
2021-12-09T01:00:00+00:00,231627.753936455311,-116721.211878662497,136607.279498244338
2021-12-09T02:00:00+00:00,0,-12139.449702372931,136607.279498244338
2021-12-09T03:00:00+00:00,52173.311380918063,-32694.031017971503,136607.279498244338
2021-12-09T04:00:00+00:00,,,136607.279498244338
2021-12-09T05:00:00+00:00,0,-54059.598769647789,136607.279498244338
2021-12-09T06:00:00+00:00,0,-4344.6428755043052001,136607.279498244338
2021-12-09T07:00:00+00:00,113401.239594247407,-48421.297002999997,136607.279498244338
2021-12-09T08:00:00+00:00,,,136607.279498244338
2021-12-09T09:00:00+00:00,53841.758443500756,0,136607.279498244338
2021-12-09T10:00:00+00:00,368197.519886819745,-302607.815479291413,116488.462286951164
2021-12-09T11:00:00+00:00,0,-9258.0687760126620415,136607.279498244338
2021-12-09T12:00:00+00:00,0,-4974.3910858102816439,136607.279498244338
2021-12-09T13:00:00+00:00,16727.2098391146853935,0,136607.279498244338
2021-12-09T14:00:00+00:00,0,-69948.2064650050602263,136607.279498244338
2021-12-09T15:00:00+00:00,61968.706803681870,0,136607.279498244338
