minute,redeemedLUSD,borrowingRate
2021-12-15T09:36:00+00:00,,0.500483460451246300000000
2021-12-15T10:01:00+00:00,,0.500472418199279000000000
2021-12-15T12:02:00+00:00,,0.500420876768163800000000
2021-12-15T18:57:00+00:00,,0.500282528787997800000000
2021-12-15T19:05:00+00:00,,0.500280361211954000000000
2021-12-15T19:06:00+00:00,3760671.511476433023,0.71874455636439280000
2021-12-15T19:21:00+00:00,,0.71560845911125490000
2021-12-15T19:22:00+00:00,,0.71540099177611340000
2021-12-15T19:24:00+00:00,,0.71519372407458240000
2021-12-15T19:50:00+00:00,,0.71007635380954370000
2021-12-15T20:17:00+00:00,,0.70488333905065410000
2021-12-15T23:34:00+00:00,,0.66948899002632110000
2021-12-16T00:45:00+00:00,,0.65844359459108230000
2021-12-16T06:04:00+00:00,,0.61654715449516880000
