hour,totalLQTYStaked,totalLQTYClaimed
2021-08-24T15:00:00+00:00,7436375.294124502205,8724393.695113842627226604000000000000000000
2021-08-24T17:00:00+00:00,,8725272.411545859610882004000000000000000000
2021-08-24T18:00:00+00:00,7438159.223698844214,8725272.411545859610882004000000000000000000
2021-08-24T20:00:00+00:00,,8729271.287661168476542904000000000000000000
2021-08-24T21:00:00+00:00,,8729376.463190349710233704000000000000000000
2021-08-24T22:00:00+00:00,7439026.117387025902,8730331.063851934565445704000000000000000000
2021-08-24T23:00:00+00:00,7439651.456578118338,8730514.505956359898809704000000000000000000
2021-08-25T00:00:00+00:00,,8730655.073076124301724964000000000000000000
2021-08-25T01:00:00+00:00,7440764.214348751086,8731275.928813981234059364000000000000000000
2021-08-25T02:00:00+00:00,,8731507.026089872083615464000000000000000000
2021-08-25T03:00:00+00:00,,8732639.529511428941440864000000000000000000
2021-08-25T04:00:00+00:00,,8733041.825250747549369564000000000000000000
2021-08-25T05:00:00+00:00,,8733070.965810967575468964000000000000000000
2021-08-25T06:00:00+00:00,7439454.759348751086,8733135.737076572389010764000000000000000000
2021-08-25T07:00:00+00:00,,8735359.216394781074327264000000000000000000
2021-08-25T08:00:00+00:00,7441740.301977078984,8735359.216394781074327264000000000000000000
2021-08-25T09:00:00+00:00,7444541.737601226655,8735384.717431116053135564000000000000000000
2021-08-25T10:00:00+00:00,,8738949.061463578361083564000000000000000000
2021-08-25T11:00:00+00:00,,8745722.828570815812671864000000000000000000
2021-08-25T12:00:00+00:00,,8745929.242036060313877064000000000000000000
2021-08-25T15:00:00+00:00,7450594.814976906392,8747540.313798582094204863000000000000000000
2021-08-25T16:00:00+00:00,7456744.934976906392,8748236.484646000991088163000000000000000000
2021-08-25T17:00:00+00:00,7455325.364976906392,8748580.837554110885306163000000000000000000
2021-08-25T20:00:00+00:00,7453816.684976906392,8748604.299019728055909663000000000000000000
2021-08-25T21:00:00+00:00,7453071.476393673338,8750147.510663926229648586000000000000000000
2021-08-25T22:00:00+00:00,,8750737.290284183608698986000000000000000000
2021-08-26T00:00:00+00:00,,8752223.149189305689501002000000000000000000
2021-08-26T01:00:00+00:00,7453343.241230782364,8754208.194117771586079602000000000000000000
2021-08-26T02:00:00+00:00,7455086.843974747420,8761009.428225897128738802000000000000000000
2021-08-26T03:00:00+00:00,7464283.628839635892,8761033.199218772483325502000000000000000000
2021-08-26T04:00:00+00:00,,8761033.199218772483325502000000000000000000
2021-08-26T05:00:00+00:00,7464182.798839635892,8761033.199218772483325502000000000000000000
2021-08-26T06:00:00+00:00,,8761289.377714426802826002000000000000000000
2021-08-26T07:00:00+00:00,7463031.888839635892,8761318.801143932203188402000000000000000000
2021-08-26T08:00:00+00:00,7464838.938368014858,8762769.581816674637714102000000000000000000
2021-08-26T09:00:00+00:00,7466383.105063288208,8763155.379929425205156602000000000000000000
2021-08-26T10:00:00+00:00,,8763411.920198977180490702000000000000000000
2021-08-26T11:00:00+00:00,7419357.736009523036,8763414.641522800028402502000000000000000000
2021-08-26T12:00:00+00:00,,8763798.720600745254558602000000000000000000
2021-08-26T13:00:00+00:00,7419406.221009523036,8763872.678063879008593802000000000000000000
2021-08-26T14:00:00+00:00,7421055.651009523036,8763872.678063879008593802000000000000000000
2021-08-26T15:00:00+00:00,,8768937.375655350586564402000000000000000000
2021-08-26T16:00:00+00:00,,8768954.920177030118250002000000000000000000
2021-08-26T20:00:00+00:00,7413757.831009523036,8768981.325884985186445271000000000000000000
2021-08-26T21:00:00+00:00,7419584.331009523035,8769531.457965348244616871000000000000000000
2021-08-26T22:00:00+00:00,,8769984.992383579192476375000000000000000000
2021-08-27T00:00:00+00:00,,8772172.140861988223744275000000000000000000
2021-08-27T01:00:00+00:00,7448106.700836235803,8775448.624192983564895849000000000000000000
2021-08-27T02:00:00+00:00,7473249.726931133119,8776697.329477880592719949000000000000000000
2021-08-27T03:00:00+00:00,,8777233.822034505505702449000000000000000000
2021-08-27T04:00:00+00:00,7476445.690445657114,8777234.736133140435038825000000000000000000
2021-08-27T05:00:00+00:00,7478808.859823179169,8778062.194400269180371725000000000000000000
2021-08-27T06:00:00+00:00,7479457.233702445981,8778444.858807496405737256000000000000000000
2021-08-27T07:00:00+00:00,7481410.361508327077,8779993.622344147750294956000000000000000000
2021-08-27T08:00:00+00:00,,8780077.516028108030825556000000000000000000
2021-08-27T09:00:00+00:00,,8782979.864662253041128556000000000000000000
2021-08-27T10:00:00+00:00,7484889.060400288369,8782979.864662253041128556000000000000000000
