evt_block_time,torn_balance,torn_price,tvl
2022-03-01T13:49:00+00:00,281930.18281897848836840000,39.32,11085494.788442235
2022-03-01T15:25:00+00:00,281938.26467834358531380000,39.1,11023786.148923235
2022-03-01T19:30:00+00:00,282274.85370274358531380000,38.31,10813949.645352108
2022-03-01T19:53:00+00:00,282774.84000274358531380000,38.24,10813309.881704915
2022-03-01T20:53:00+00:00,282923.94000274358531380000,38.39,10861450.056705326
2022-03-02T00:06:00+00:00,284386.23747031316050830000,38.25,10877773.583239477
2022-03-02T02:48:00+00:00,284086.23747031316050830000,37.72,10715732.87738021
2022-03-02T03:04:00+00:00,284101.75521918990592380000,37.84,10750410.417494148
2022-03-02T05:04:00+00:00,284735.67621918990592380000,38.11,10851276.620713327
2022-03-02T05:11:00+00:00,285335.23109434520225690000,38.25,10914072.589358704
2022-03-02T06:55:00+00:00,285349.84599434520225690000,37.47,10692058.729408115
2022-03-02T09:24:00+00:00,285409.54551434520225690000,37.72,10765648.056801101
2022-03-02T09:51:00+00:00,285709.54552256234418180000,37.69,10768392.770745374
2022-03-02T11:46:00+00:00,283709.54552256234418180000,37.62,10673153.102558795
2022-03-02T14:23:00+00:00,283718.44612256234418180000,36.92,10474885.030845001
2022-03-02T14:43:00+00:00,283768.15105256234418180000,37.36,10601578.12332373
2022-03-02T14:58:00+00:00,285146.20338592261907330000,37.05,10564666.83544843
2022-03-02T15:21:00+00:00,285637.27733703452572990000,36.63,10462893.468855575
2022-03-02T16:38:00+00:00,301381.82492766887172990000,36.88,11114961.703332428
2022-03-02T16:40:00+00:00,301530.27408725623365060000,36.88,11120436.50833801
2022-03-02T16:41:00+00:00,318329.49408725623365060000,36.85,11730441.857115394
2022-03-02T18:17:00+00:00,318592.53168268017419550000,37.69,12007752.519120216
2022-03-02T19:35:00+00:00,318602.53168268017419550000,37.24,11864758.279863011
2022-03-02T19:56:00+00:00,319609.64312420033747560000,37.48,11978969.424295029
2022-03-02T20:25:00+00:00,327195.91659626384648670000,37.49,12266574.913193932
2022-03-02T20:46:00+00:00,327545.91659626384648670000,37.61,12319001.923185483
2022-03-02T20:48:00+00:00,327555.78198210572783990000,37.61,12319372.960346997
2022-03-02T22:09:00+00:00,327642.07348010572783990000,39.89,13069642.311121417
2022-03-03T02:49:00+00:00,327692.07348010572783990000,41.41,13569728.762811176
2022-03-03T02:58:00+00:00,327885.49392467371577850000,41.59,13636757.69232718
2022-03-03T03:34:00+00:00,328385.49392467371577850000,42.65,14005641.315887334
2022-03-03T04:11:00+00:00,328396.49392467371577850000,42.58,13983122.711312605
2022-03-03T04:44:00+00:00,348731.45132959745577850000,42.86,14946630.003986547
2022-03-03T05:03:00+00:00,348152.24140579798841180000,44.64,15541516.056354823
2022-03-03T05:04:00+00:00,348167.46513579798841180000,44.64,15542195.643662022
2022-03-03T05:29:00+00:00,358054.61925012848903610000,44.91,16080232.95052327
2022-03-03T05:59:00+00:00,358087.41514112554270400000,48.13,17234747.290742375
2022-03-03T06:01:00+00:00,357488.36414112554270400000,48.31,17270262.871657774
2022-03-03T06:19:00+00:00,358092.07862551223238020000,47.61,17048763.86336064
2022-03-03T06:21:00+00:00,358162.90785285772331470000,48.01,17195401.2060157
2022-03-03T06:32:00+00:00,358323.83785285772331470000,47.25,16930801.338547528
2022-03-03T06:39:00+00:00,358174.73785285772331470000,47.2,16905847.626654886
2022-03-03T06:54:00+00:00,358028.93943285772331470000,46.8,16755754.365457742
2022-03-03T07:01:00+00:00,358032.92741082796544170000,46.42,16619888.490410633
2022-03-03T07:10:00+00:00,358100.69232602753655840000,46.31,16583643.061618337
2022-03-03T07:18:00+00:00,358122.16037914680921680000,46.3,16581056.025554497
2022-03-03T07:23:00+00:00,358127.57786607779241260000,46.12,16516843.891183507
2022-03-03T07:28:00+00:00,358164.44001171116775220000,45.96,16461237.662938245
2022-03-03T07:59:00+00:00,357978.44001171116775220000,46.13,16513545.437740237
2022-03-03T08:28:00+00:00,358019.19236752202052150000,46.87,16780359.54626576
2022-03-03T08:35:00+00:00,357669.19236752202052150000,46.56,16653077.596631827
2022-03-03T08:44:00+00:00,369359.70405195756252150000,46.24,17079192.71536252
2022-03-03T08:54:00+00:00,369381.14262336153107430000,45.65,16862249.160756454
2022-03-03T09:08:00+00:00,369412.26262336153107430000,45.77,16907999.26027126
2022-03-03T09:53:00+00:00,378747.95407014153107430000,46.33,17547392.712069657
