hour,3crvBalance,lusdBalance,3crvPerLusd
2022-03-31T08:00:00+00:00,85578195.192356654581851735000000000000000000,29968985.037739386742421268000000000000000000,285.555867456270612424324331822971836548
2022-03-31T09:00:00+00:00,85571543.903765751403103535000000000000000000,29968985.037739386742421268000000000000000000,285.533673549528267515247650896150498481
2022-03-31T10:00:00+00:00,58573746.411837261709302435000000000000000000,28341734.014156478447021768000000000000000000,206.669593266876773601535719437587257296
2022-03-31T11:00:00+00:00,58617245.424534445815302435000000000000000000,28297439.721405507883021768000000000000000000,207.146816113521456722793170695843847096
2022-03-31T12:00:00+00:00,59482112.874534445815302435000000000000000000,28297439.721405507883021768000000000000000000,210.203161346570133491269173377691949245
2022-03-31T15:00:00+00:00,64154095.751332279690302435000000000000000000,28297439.721405507883021768000000000000000000,226.713428433608850114723906234547755685
2022-03-31T17:00:00+00:00,64350015.833868907781302435000000000000000000,28098011.351714275648021768000000000000000000,229.019822891995795027402779911020676460
2022-03-31T20:00:00+00:00,63040322.319445451717036635000000000000000000,29356201.863198970632021768000000000000000000,214.742774331692422255938987252714568694
2022-04-01T05:00:00+00:00,63040322.319445451717036635000000000000000000,29351025.232953193723735768000000000000000000,214.780648441092165172982329053875569731
2022-04-01T08:00:00+00:00,63140230.588044815166036635000000000000000000,29249304.561640106413735768000000000000000000,215.869168632651863248315231445062780711
2022-04-01T11:00:00+00:00,72936241.820319229287036635000000000000000000,29249304.561640106413735768000000000000000000,249.360601605460701137351682631701739931
2022-04-01T12:00:00+00:00,72044561.568611045195036635000000000000000000,30157409.795329412017735768000000000000000000,238.895057823463502677748237255479585120
2022-04-01T13:00:00+00:00,71678597.884971610956196435000000000000000000,30521013.239905051774735768000000000000000000,234.849994400757964016770967825788582895
2022-04-01T14:00:00+00:00,70893284.852791404949196435000000000000000000,31320993.443725523151735768000000000000000000,226.344304755739878833440932033558119335
2022-04-01T17:00:00+00:00,70763776.594501097733196435000000000000000000,31452932.476167103455735768000000000000000000,224.983081142342077973012128890849291202
2022-04-01T22:00:00+00:00,70695067.576528597856196435000000000000000000,31522932.476167103455735768000000000000000000,224.265517270569819517109881532737128724
2022-04-01T23:00:00+00:00,70745537.074828457926196435000000000000000000,31471555.737147144702735768000000000000000000,224.791992063247929476519089687627436274
