time,open,high,low,close
1620000000,13.893,14.865,13.885,14.382
1620086400,14.382,14.487,12.561,12.65
1620172800,12.649,14.479,12.501,14.357
1620259200,14.369,17.005,13.963,16.512
1620345600,16.519,17.81,15.355,15.805
1620432000,15.802,16.8,15.469,16.32
1620518400,16.322,16.521,15.206,15.506
1620604800,15.527,16.69,12.8,13.823
1620691200,13.827,15.322,13.366,15.244
1620777600,15.243,18.393,14.346,14.881
1620864000,14.87,16.836,13.768,14.774
1620950400,14.776,19.04,14.659,18.591
1621036800,18.582,18.965,16.088,16.181
1621123200,16.186,17.671,14.95,16.564
1621209600,16.552,18.282,14.33,16.187
1621296000,16.175,22.537,16.03,21.436
1621382400,21.444,21.977,10.25,13.132
1621468800,13.145,17.01,11.501,15.128
1621555200,15.11,16.389,10.38,12.754
1621641600,12.78,13.3,9.977,11.069
1621728000,11.069,11.458,6.294,9.013
1621814400,9.013,12.44,8.911,11.973
1621900800,11.989,12.7,9.579,12.229
1621987200,12.232,13.599,11.554,13.423
1622073600,13.426,13.447,11.574,12.116
1622160000,12.119,12.387,10.029,10.596
1622246400,10.596,11.497,9.612,10.037
1622332800,10.043,11.185,9.567,10.837
1622419200,10.834,12.542,9.991,12.474
1622505600,12.468,12.678,11.349,12.051
1622592000,12.059,12.971,11.637,12.528
1622678400,12.541,13.514,12.237,13.239
1622764800,13.239,13.243,11.302,11.843
1622851200,11.845,12.567,11.045,11.568
1622937600,11.557,11.994,11.316,11.537
1623024000,11.541,11.833,10.138,10.275
1623110400,10.255,10.511,9.096,10.071
1623196800,10.072,10.559,9.452,10.543
1623283200,10.54,10.6,9.194,9.405
1623369600,9.412,9.561,8.291,8.56
1623456000,8.562,8.577,7.634,7.842
1623542400,7.845,8.89,7.74,8.632
1623628800,8.632,9.446,8.394,9.254
1623715200,9.25,9.652,8.894,9.109
1623801600,9.108,9.111,8.25,8.494
1623888000,8.495,9.248,8.203,8.468
1623974400,8.467,8.485,7.548,7.834
1624060800,7.834,7.99,7.452,7.47
1624147200,7.469,8.648,7.318,8.416
1624233600,8.421,8.517,6.611,6.644
1624320000,6.637,7.556,5.966,6.804
1624406400,6.806,7.537,6.512,7.048
1624492800,7.049,7.352,6.617,7.062
1624579200,7.061,7.202,6.151,6.294
1624665600,6.297,6.837,6.063,6.826
1624752000,6.827,7.145,6.48,7.141
1624838400,7.141,7.776,7.023,7.6
1624924800,7.604,8.451,7.554,7.939
