hour,eoa,otherContract,stabilityPool,uniswapV2,uniswapV3,curve,d4
2021-07-14T05:00:00+00:00,2120602.807162733308018109000000000000000000,695309.356617500824165599000000000000000000,651594952.519843148083747723000000000000000000,37885.4555062984715741520000000000,1278323.431105064774505279000000,92315663.185459917606644649000000000000000000,1573167.191368045571361300000000000000000000
2021-07-14T06:00:00+00:00,5101271.610599196060938809000000000000000000,695299.103195018865910299000000000000000000,651590982.909843148083747723000000000000000000,37885.4555062984715741520000000000,1275727.490590063606474179000000,89391141.375333276551177349000000000000000000,1519972.024898437992361300000000000000000000
2021-07-14T07:00:00+00:00,5099379.010149891023636609000000000000000000,695237.927047732952842099000000000000000000,651592467.722474964999347323000000000000000000,37873.0876135521410098520000000000,1277701.064448878967012879000000,89391141.375333276551177349000000000000000000,1519972.024898437992361300000000000000000000
2021-07-14T08:00:00+00:00,2106005.944372275539868109000000000000000000,695173.585799358279281199000000000000000000,651590947.975690461294546223000000000000000000,37673.0876135521410098520000000000,1278158.160172536712143379000000,92322351.949799447634177349000000000000000000,1583251.508519103026361300000000000000000000
2021-07-14T09:00:00+00:00,2105907.427268697211868109000000000000000000,695062.048486885270107999000000000000000000,651591059.513002934303719423000000000000000000,37673.0876135521410098520000000000,1340954.820242136453143379000000,92259653.806833426221177349000000000000000000,1583251.508519103026361300000000000000000000
2021-07-14T10:00:00+00:00,2146920.156556729030634046000000000000000000,695027.324770532188672462000000000000000000,651554127.843031984460284523000000000000000000,37716.7054334483001751520000000000,1340066.440983866703606279000000,92259653.806833426221177349000000000000000000,1583251.508519103026361300000000000000000000
2021-07-14T11:00:00+00:00,2108195.734962508122201346000000000000000000,694963.995907573185058562000000000000000000,651554527.843031984460284523000000000000000000,37716.7054334483001751520000000000,1345066.440983866703606279000000,92253714.183976132845177349000000000000000000,1629109.431376396402361300000000000000000000
2021-07-14T12:00:00+00:00,2112256.267768432316267146000000000000000000,694822.983075430087123262000000000000000000,651550608.323058203364154023000000000000000000,37716.7054334483001751520000000000,1345066.440983866703606279000000,92253714.183976132845177349000000000000000000,1629109.431376396402361300000000000000000000
2021-07-14T13:00:00+00:00,2113608.347396898644281346000000000000000000,694822.983075430087123262000000000000000000,651550608.323058203364154023000000000000000000,38409.3747378163896176520000000000,1344353.403677152410772379000000,92192483.914110526302554549000000000000000000,1689007.989615882820361300000000000000000000
2021-07-14T14:00:00+00:00,2112894.826574394709225509000000000000000000,696366.751043589271396662000000000000000000,651557071.323058203364154060000000000000000000,38409.3747378163896176520000000000,1287014.925983818149772379000000,92223416.446820180989554549000000000000000000,2022075.482996526453361300000000000000000000
2021-07-14T15:00:00+00:00,2112637.101132481610105473000000000000000000,696455.764395808093399198000000000000000000,651567071.323058203364154060000000000000000000,38409.3747378163896176520000000000,1296057.928802644719990479000000,92286460.678333449820554549000000000000000000,1959278.007323288657860700000000000000000000
2021-07-14T16:00:00+00:00,2140352.576214398564917573000000000000000000,696474.100348196190038498000000000000000000,651550071.320871500819154060000000000000000000,38409.3747378163896176520000000000,1297857.928802644719990479000000,92286460.678333449820554549000000000000000000,1959278.007323288657860700000000000000000000
2021-07-14T17:00:00+00:00,2125354.762005099042939773000000000000000000,696474.100348196190038498000000000000000000,652731962.890871500869154060000000000000000000,38409.3747378163896176520000000000,1035927.208908350777676779000000,91372098.293691576938458349000000000000000000,1968677.356068754954248400000000000000000000
2021-07-14T18:00:00+00:00,2124466.790839427438420573000000000000000000,696889.251486068575946898000000000000000000,652731962.890871500869154060000000000000000000,38409.3747378163896176520000000000,1118917.498731827233500679000000,91372993.919035562012153649000000000000000000,1968677.356068754954248400000000000000000000
2021-07-14T19:00:00+00:00,2109079.334727993333557473000000000000000000,696939.268401209674178598000000000000000000,652724460.984798201644746660000000000000000000,38776.8342242436324041520000000000,1143939.039245399990714179000000,91372993.919035562012153649000000000000000000,1976177.468673880962170300000000000000000000
2021-07-14T20:00:00+00:00,2029892.581650653496314873000000000000000000,696537.564120311077127098000000000000000000,652724669.216808078788522160000000000000000000,38750.1954227972121339520000000000,1149351.821139424426211579000000,91447993.919035562012153649000000000000000000,1976177.468673880962170300000000000000000000
2021-07-14T21:00:00+00:00,2061079.516348115893236373000000000000000000,696173.203854523744875098000000000000000000,652727174.216808078788522160000000000000000000,38750.1954227972121339520000000000,1120785.308862908837537979000000,91443232.856880402536157749000000000000000000,1976177.468673880962170300000000000000000000
2021-07-14T22:00:00+00:00,2060530.755455930189315773000000000000000000,696173.203854523744875098000000000000000000,652727176.805530296216036760000000000000000000,38750.1954227972121339520000000000,1119322.455956349139038579000000,91443232.856880402536157749000000000000000000,1976177.468673880962170300000000000000000000
2021-07-14T23:00:00+00:00,2067762.293893119550476373000000000000000000,696173.203854523744875098000000000000000000,652719945.267093106854876160000000000000000000,38750.1954227972121339520000000000,1119078.541427506245201779000000,91397390.933031046317157749000000000000000000,2022263.307052080075007100000000000000000000
2021-07-15T00:00:00+00:00,2059053.182886595757948573000000000000000000,696116.054296479582134098000000000000000000,652719961.247093106854876160000000000000000000,38750.1954227972121339520000000000,1125628.821992074200470579000000,91397390.933031046317157749000000000000000000,2022263.307052080075007100000000000000000000
