hour,lusdSupply
2021-04-07T22:00:00+00:00,241465922.758000000010151020000000000000000000
2021-04-07T23:00:00+00:00,244282122.828000000010141120000000000000000000
2021-04-08T00:00:00+00:00,245038822.828000000010320220000000000000000000
2021-04-08T01:00:00+00:00,245323599.828000000010071420000000000000000000
2021-04-08T02:00:00+00:00,245355125.828000000010011720000000000000000000
2021-04-08T03:00:00+00:00,248067336.338000000011703320000000000000000000
2021-04-08T04:00:00+00:00,248177336.338000000011613720000000000000000000
2021-04-08T05:00:00+00:00,247781896.338000000011011720000000000000000000
2021-04-08T06:00:00+00:00,247912746.338000000011285420000000000000000000
2021-04-08T07:00:00+00:00,248425746.338000000011977020000000000000000000
2021-04-08T08:00:00+00:00,248469973.838000000012360120000000000000000000
2021-04-08T09:00:00+00:00,252007173.838000000012494420000000000000000000
2021-04-08T10:00:00+00:00,252168923.838000000011967020000000000000000000
2021-04-08T11:00:00+00:00,252076178.838000000011996920000000000000000000
2021-04-08T12:00:00+00:00,252184178.838000000012111320000000000000000000
2021-04-08T13:00:00+00:00,252319178.838000000011922320000000000000000000
2021-04-08T14:00:00+00:00,251926678.838000000011827720000000000000000000
2021-04-08T15:00:00+00:00,251963678.838000000011574020000000000000000000
2021-04-08T16:00:00+00:00,252564532.968000000011116320000000000000000000
2021-04-08T17:00:00+00:00,252311582.968000000011116320000000000000000000
2021-04-08T18:00:00+00:00,253065582.968000000011325320000000000000000000
2021-04-08T19:00:00+00:00,253008582.968000000011325320000000000000000000
2021-04-08T20:00:00+00:00,252979782.968000000010932220000000000000000000
2021-04-08T21:00:00+00:00,253001464.968000000010583920000000000000000000
2021-04-08T22:00:00+00:00,253016964.968000000011021720000000000000000000
2021-04-08T23:00:00+00:00,258875264.968000000011051520000000000000000000
2021-04-09T00:00:00+00:00,258853264.968000000011051520000000000000000000
2021-04-09T01:00:00+00:00,257303264.968000000011051520000000000000000000
2021-04-09T02:00:00+00:00,257777464.968000000011290320000000000000000000
2021-04-09T03:00:00+00:00,259119817.908000000011504220000000000000000000
