day,lusd
2021-08-19T00:00:00+00:00,1733987.4949691000094838
2021-07-01T00:00:00+00:00,2060269.5333284170315734
2021-11-05T00:00:00+00:00,10783848.9670952991800168
2021-09-04T00:00:00+00:00,3683877.53022823895558900000
2021-06-03T00:00:00+00:00,8951338.7729457278078383
2022-03-08T00:00:00+00:00,2755867.816064727681
2021-11-09T00:00:00+00:00,15374461.9235970858320000
2022-03-04T00:00:00+00:00,13431350.8998133584478206
2021-06-19T00:00:00+00:00,7594204.6683247550072788
2021-04-29T00:00:00+00:00,10005476.2967941117476649
2022-02-05T00:00:00+00:00,22270869.9461084608712219
2021-10-17T00:00:00+00:00,15000999.6213081144578236
2022-02-03T00:00:00+00:00,11666762.297242994954
2021-11-15T00:00:00+00:00,4997522.1625160731973619
2021-06-09T00:00:00+00:00,5258737.5410844897047797
2021-09-22T00:00:00+00:00,6318922.4485292485149287
2021-07-24T00:00:00+00:00,776126.22081775864590122500
2021-10-08T00:00:00+00:00,6598264.8398602331144980
2021-04-20T00:00:00+00:00,173466.747615975727
2022-01-20T00:00:00+00:00,30191665.3369257550158652
2021-06-06T00:00:00+00:00,11930940.5512255793787656
2022-01-22T00:00:00+00:00,134039584.71891731848862540000
2021-11-23T00:00:00+00:00,28143244.0350818349710000
2021-09-08T00:00:00+00:00,6544170.7556337447379261
2021-08-20T00:00:00+00:00,5872132.98788278128528300000
2022-03-28T00:00:00+00:00,680319.1759843090322701
2022-02-04T00:00:00+00:00,11154446.8066386663852889
2022-01-16T00:00:00+00:00,13352109.5337153446407667
2021-11-30T00:00:00+00:00,10784437.970046125010
2022-01-01T00:00:00+00:00,18331294.385398949694
2022-03-27T00:00:00+00:00,3360227.610837503408
2021-11-02T00:00:00+00:00,53510573.5327534783725065
2022-01-29T00:00:00+00:00,2687214.5289826079030256
2021-07-05T00:00:00+00:00,3232662.8064518931807747
2021-12-08T00:00:00+00:00,8945216.7825172417689122
2022-01-06T00:00:00+00:00,26853645.0999394863667767
2021-06-12T00:00:00+00:00,5344959.91937773204102300000
2021-08-09T00:00:00+00:00,16129607.25884058421219320000
2021-12-11T00:00:00+00:00,28145355.5274572438795212
2021-04-22T00:00:00+00:00,17187846.185626412593610579000000
2021-04-19T00:00:00+00:00,92985.4961011977681599
2021-06-26T00:00:00+00:00,2865069.8916720487702363
2021-09-27T00:00:00+00:00,8434416.6829305210169375
2021-10-22T00:00:00+00:00,8247843.8314135038144531
2021-04-16T00:00:00+00:00,27574.6091612054310000
2021-08-17T00:00:00+00:00,5718556.7102028694024236
2022-02-13T00:00:00+00:00,5297793.35171885762357200000
2021-09-29T00:00:00+00:00,5539667.1135307056795085
2021-08-25T00:00:00+00:00,10776711.3423409765789569
2021-10-31T00:00:00+00:00,51216318.9692836086125020
2021-10-01T00:00:00+00:00,7202323.65659475926298440000
2021-08-01T00:00:00+00:00,10361174.2593097562062147
2021-11-27T00:00:00+00:00,14937906.6973692062571576
2021-10-03T00:00:00+00:00,10241763.10083297223231130000
2021-09-03T00:00:00+00:00,6465809.66348489042836790000
2021-09-15T00:00:00+00:00,1469562.23175130148396330000
2021-07-28T00:00:00+00:00,7292746.71674493966660140000
2021-05-21T00:00:00+00:00,51072353.65698758517023820000
2021-12-07T00:00:00+00:00,19424963.8270327637590562
2022-02-10T00:00:00+00:00,4649409.0781205035264158
2021-04-21T00:00:00+00:00,4942596.5311523692581118
2021-07-25T00:00:00+00:00,2781984.93372602858796780000
2022-02-23T00:00:00+00:00,42694351.0932422143455581
2021-11-01T00:00:00+00:00,16217947.51052565778346910000
2021-09-20T00:00:00+00:00,59620797.7100816181782988
2021-12-03T00:00:00+00:00,26595887.2976555726698975
2022-01-12T00:00:00+00:00,7272742.3333948464383004
2022-03-17T00:00:00+00:00,2873371.8113004204716291
2021-07-09T00:00:00+00:00,3841526.55169401715176550000
2022-03-07T00:00:00+00:00,1909385.6230519198342284
2021-12-30T00:00:00+00:00,11539145.8785683677341885
2021-09-26T00:00:00+00:00,3064943.0151338396825463
2021-08-22T00:00:00+00:00,14698575.23505874688440770000
2021-05-27T00:00:00+00:00,13558783.4028148166019286
2022-01-04T00:00:00+00:00,6361206.3927929863210000
2021-08-11T00:00:00+00:00,6035354.2322836105236369
2021-08-07T00:00:00+00:00,23270548.6367066363397385
2021-06-18T00:00:00+00:00,21514688.3616604227608103
2021-08-03T00:00:00+00:00,20282137.5035972373675292
2021-08-15T00:00:00+00:00,5619725.51265418049046020000
2021-07-19T00:00:00+00:00,5581650.5779110804228434
2021-06-25T00:00:00+00:00,5661092.0800129382641923
2021-12-24T00:00:00+00:00,37778186.5921400847728640
2021-06-27T00:00:00+00:00,3190832.4235832575039079
2021-12-06T00:00:00+00:00,17421194.4657842739410000
2021-06-15T00:00:00+00:00,20857807.8581559263049625
2022-03-23T00:00:00+00:00,1559028.00417629458725870000
2021-05-02T00:00:00+00:00,8888427.30956853348744230000
2022-01-31T00:00:00+00:00,6294524.5102640207710000
2021-08-23T00:00:00+00:00,9371296.1926493201704359
2022-02-01T00:00:00+00:00,11063340.3950908083600386
2022-01-05T00:00:00+00:00,13046789.3814978485490724
2021-12-27T00:00:00+00:00,4655442.6952189953332603
2021-07-02T00:00:00+00:00,1945340.8040875181397697
2021-07-15T00:00:00+00:00,2986679.4978762740197873
2022-04-01T00:00:00+00:00,2500039.274216306859
2021-11-25T00:00:00+00:00,19043477.8501209842626000
2021-09-24T00:00:00+00:00,9181390.2089061051020000
2021-08-13T00:00:00+00:00,7325051.1987258959009340
2021-09-06T00:00:00+00:00,7656998.7102701753260000
2022-01-25T00:00:00+00:00,18592538.4268958598540146
2021-07-27T00:00:00+00:00,1462999.2760384568215096
2021-10-16T00:00:00+00:00,12316732.7629675840977939
2021-11-07T00:00:00+00:00,32212781.4337508513969045
2021-08-06T00:00:00+00:00,6024308.18403836389529980000
2022-03-15T00:00:00+00:00,1199534.2615524038706789
2022-02-27T00:00:00+00:00,4493658.2174582515409382
2021-12-04T00:00:00+00:00,42217192.9242170719748740
2022-02-12T00:00:00+00:00,3062701.6591712608567973
2021-07-18T00:00:00+00:00,1176842.7395266960003063
2022-01-27T00:00:00+00:00,86743776.9475112664218968
2021-05-25T00:00:00+00:00,9235299.76881626444958450000
2021-10-20T00:00:00+00:00,9826717.7491911205103218
2021-11-29T00:00:00+00:00,3984020.8477712281471256
2021-10-19T00:00:00+00:00,13096007.4388211587060000
2021-10-29T00:00:00+00:00,12205650.566425120919
2022-01-14T00:00:00+00:00,7918898.913035201660
2022-01-24T00:00:00+00:00,68617668.5691714958615672
2021-10-04T00:00:00+00:00,8563581.9171509804963922
2021-12-05T00:00:00+00:00,53234520.1281963450245997
2021-12-29T00:00:00+00:00,14158264.9988505528370000
2021-11-19T00:00:00+00:00,25775467.4114874163242181
2021-12-14T00:00:00+00:00,10463847.2383583180779222
2021-10-30T00:00:00+00:00,46006239.541552467576
2021-09-01T00:00:00+00:00,7432140.66580968744533962700
2021-12-23T00:00:00+00:00,79982455.2811053416974023
2021-07-12T00:00:00+00:00,2919559.9178466733262905
2021-12-10T00:00:00+00:00,22258820.2309076708524835
2021-10-27T00:00:00+00:00,8875779.9741776322932101
2022-02-18T00:00:00+00:00,2441798.8600594627528154
2021-10-10T00:00:00+00:00,13522416.5698314629179211
2022-02-19T00:00:00+00:00,1084397.966673332918
