hour,3crvBalance,lusdBalance,3crvPerLusd
2022-03-05T09:00:00+00:00,102529160.780798981250825755000000000000000000,20097935.054754477802285689000000000000000000,510.147736578261657564414480314830103580
2022-03-05T10:00:00+00:00,102508636.789027038173744155000000000000000000,20121162.150157040588771489000000000000000000,509.456839639985626542137383507903467071
2022-03-05T12:00:00+00:00,102488349.463634736030744155000000000000000000,20141162.150157040588771489000000000000000000,508.850227705632341762315674163590326915
2022-03-05T14:00:00+00:00,102485848.407078390785868455000000000000000000,20141231.186949264631997389000000000000000000,508.836065957503328847828505624835149579
2022-03-05T16:00:00+00:00,102478928.365792736920164155000000000000000000,20148231.186949264631997389000000000000000000,508.624937915999453010291136334734896010
2022-03-05T17:00:00+00:00,102748366.937364885481164155000000000000000000,19875931.602971110060997389000000000000000000,516.948684417920673002465314016149030147
2022-03-05T18:00:00+00:00,102344703.406747418379788955000000000000000000,20293365.821613127471997389000000000000000000,504.325917673778959420494452086621549721
2022-03-05T21:00:00+00:00,102189568.619762860293788955000000000000000000,20293365.821613127471997389000000000000000000,503.561457069519146387763700703657710155
2022-03-05T23:00:00+00:00,102176492.982795111491788955000000000000000000,20306594.777178115735997389000000000000000000,503.169015307420039806821466847042228263
2022-03-06T00:00:00+00:00,102666381.716878007947788955000000000000000000,19811470.850033371476997389000000000000000000,518.216857769069030673721825441703367362
2022-03-06T01:00:00+00:00,105454094.429476621879788955000000000000000000,16999224.384855518033997389000000000000000000,620.346505476007990860632352614072047921
2022-03-06T02:00:00+00:00,105414687.336142901934788955000000000000000000,17038936.980424713546997389000000000000000000,618.669389159952918775926119499549329083
2022-03-06T05:00:00+00:00,105419875.349821129589088355000000000000000000,17033712.779295569853907789000000000000000000,618.889590987812666634815072245969225731
2022-03-06T06:00:00+00:00,104890674.718629646575088355000000000000000000,17567242.535825097016907789000000000000000000,597.081041630322938511616596555241014939
2022-03-06T07:00:00+00:00,104777101.361996993494088355000000000000000000,17567242.535825097016907789000000000000000000,596.434535177184140450723111974022885635
2022-03-06T08:00:00+00:00,104776009.982963641532303555000000000000000000,17567207.644732876256603689000000000000000000,596.429507192500919281052497715510599806
2022-03-06T10:00:00+00:00,105412964.258211805678303555000000000000000000,16925592.980747921081603689000000000000000000,622.802192975538141413757521046206911773
2022-03-06T11:00:00+00:00,105367420.707030836963522855000000000000000000,16967947.718935529446603689000000000000000000,620.979168797444746948435478214476152399
2022-03-06T12:00:00+00:00,105366477.297728505246630255000000000000000000,16968898.395221675175726789000000000000000000,620.938819030226375684472665176587591902
2022-03-06T13:00:00+00:00,105365713.734535409536356455000000000000000000,16968898.395221675175726789000000000000000000,620.934319249655406360937435276104455556
2022-03-06T14:00:00+00:00,105356105.851437125659185355000000000000000000,16968898.395221675175726789000000000000000000,620.877698702613947318280775085541741222
2022-03-06T16:00:00+00:00,104166558.443535795072881755000000000000000000,18168664.138118373751395989000000000000000000,573.330860495083922198060392421847940220
2022-03-06T19:00:00+00:00,102867706.268191294962881755000000000000000000,19480938.151197186788395989000000000000000000,528.042876938499162593501445062490325211
2022-03-07T01:00:00+00:00,103085215.147757605617881755000000000000000000,19261249.873699504741395989000000000000000000,535.194838464332985641222834690787303689
2022-03-07T03:00:00+00:00,103122110.870777541604881755000000000000000000,19223989.549109930994395989000000000000000000,536.424089325163444871715553936967340540
2022-03-07T06:00:00+00:00,103250894.588138863421881755000000000000000000,19093945.100602186035856612000000000000000000,540.752023974775805995659097428349899685
2022-03-07T07:00:00+00:00,103121524.019537760696881755000000000000000000,19224704.015216644019856612000000000000000000,536.401101093236674150783995473862232531
2022-03-07T08:00:00+00:00,102896479.806258320095881755000000000000000000,19452177.501422974153856612000000000000000000,528.971524132612875994028343504228136100
2022-03-07T10:00:00+00:00,102927291.461448036329682955000000000000000000,19421059.925167277358085012000000000000000000,529.977724480768799202046955588449427017
2022-03-07T11:00:00+00:00,102926363.051126078029735455000000000000000000,19421059.925167277358085012000000000000000000,529.972944050012004122701022568544998948
2022-03-07T14:00:00+00:00,102925450.887133215561881755000000000000000000,19421059.925167277358085012000000000000000000,529.968247272408839339673814554809416740
2022-03-07T15:00:00+00:00,103023426.875583447954881755000000000000000000,19421059.925167277358085012000000000000000000,530.472730492314194257102504384253399911
2022-03-07T16:00:00+00:00,102923207.871604977156881755000000000000000000,19522373.627946231181085012000000000000000000,527.206423937459383124336091022143036750
2022-03-07T18:00:00+00:00,102822755.241659679605881755000000000000000000,19623934.218105293682085012000000000000000000,523.966061539250806139301633092976868060
